day,h,t,rh,ws,wd
2025-06-01,0,14.2,79.2,1.6,292.6
2025-06-01,1,13.2,81.5,1.3,262.5
2025-06-01,2,12.4,86.4,2.1,294.9
2025-06-01,3,12.9,88.6,1.5,265.1
2025-06-01,4,11.8,87.8,1.3,287.7
2025-06-01,5,11.1,88.9,1,287.1
2025-06-01,6,11.6,85.7,1.1,301.2
2025-06-01,7,14.7,76.7,0.8,286.9
2025-06-01,8,18.2,76.9,0.7,317.6
2025-06-01,9,18,79.6,3,47.7
2025-06-01,10,19.2,75.4,2.3,86.8
2025-06-01,11,19.7,72.1,2.2,91.4
2025-06-01,12,19.5,74.3,2.7,66.1
2025-06-01,13,19.7,74.6,2.8,73.6
2025-06-01,14,18.3,78.5,2.6,93.7
2025-06-01,15,18.2,78.5,2.6,116.7
2025-06-01,16,18.1,78.4,2.8,120.9
2025-06-01,17,18.3,78.7,1.9,160.2
2025-06-01,18,17.6,83.5,1.7,150
2025-06-01,19,17.2,88.2,1.9,193.9
2025-06-01,20,17.1,90.6,1.6,185.2
2025-06-01,21,17,90.5,0.5,213.3
2025-06-01,22,16.7,91.6,0,323.1
2025-06-01,23,16.4,92.8,0.4,315.8
2025-06-02,0,16.1,94.1,0.7,168.7
2025-06-02,1,15.8,94.9,0.6,202.7
2025-06-02,2,15.7,95.2,0.3,207.5
2025-06-02,3,15.3,95.5,1,288.5
2025-06-02,4,15.3,95.8,0.8,290.1
2025-06-02,5,15.3,94.3,1,252.8
2025-06-02,6,15.5,94.8,0.5,274.5
2025-06-02,7,16.6,93,0.1,254.7
2025-06-02,8,17.4,93.1,0.9,137.9
2025-06-02,9,17.8,92.9,1.5,142.6
2025-06-02,10,17.8,93.2,1.6,134.6
2025-06-02,11,17.5,94.6,2.4,159.4
2025-06-02,12,17.7,95.1,2.4,147.9
2025-06-02,13,17.9,93.3,2.1,196.8
2025-06-02,14,20.2,91.7,1.2,300.1
2025-06-02,15,18.9,90.5,1.9,169.1
2025-06-02,16,18.6,92.9,2.3,182.2
2025-06-02,17,18.3,94.9,2.4,158.2
2025-06-02,18,18.6,94.6,0.3,272.9
2025-06-02,19,18.1,93.9,1.1,157.7
2025-06-02,20,17.9,94.4,0.1,313.8
2025-06-02,21,17.8,95.2,1.5,134.5
2025-06-02,22,17.8,95.7,0.9,268.6
2025-06-02,23,18,95.4,0.5,236.5
2025-06-03,0,18.1,92.8,0.7,229.2
2025-06-03,1,18.4,83.5,1,247
2025-06-03,2,19.4,70.8,1.5,196.6
2025-06-03,3,17.9,83.1,0.6,277.8
2025-06-03,4,16.8,91.2,2.4,104.7
2025-06-03,5,16.6,94.6,0.8,74
2025-06-03,6,16.4,95.9,0.2,252.7
2025-06-03,7,16.4,97.1,0.4,282.2
2025-06-03,8,16.9,96.8,0.4,244.2
2025-06-03,9,18.4,89.6,1.1,117.5
2025-06-03,10,20.7,79.7,0.7,164.9
2025-06-03,11,19.4,84,2.8,112.4
2025-06-03,12,19.9,80.6,2,109.6
2025-06-03,13,19.7,80.1,2.3,126.5
2025-06-03,14,20.5,78.1,2.4,132.6
2025-06-03,15,18.9,84.1,2.2,172.5
2025-06-03,16,19.6,82,2.1,167.4
2025-06-03,17,19.6,82.8,1.8,137.8
2025-06-03,18,18.8,87.2,2.7,164.5
2025-06-03,19,18.8,87.4,1.4,180.2
2025-06-03,20,18.1,90.4,1.2,114.1
2025-06-03,21,19.5,53.6,0.7,144.5
2025-06-03,22,17.5,79.9,1.4,292.3
2025-06-03,23,17.4,59.4,1.2,272.4
2025-06-04,0,16,81.5,1.2,322.7
2025-06-04,1,16.8,50.2,1,273
2025-06-04,2,17,41.5,1.2,221.8
2025-06-04,3,16.2,41.2,1.9,261
2025-06-04,4,15.8,42,1.4,204.2
2025-06-04,5,14.4,49.9,1.8,259.4
2025-06-04,6,16.8,47.8,2.2,256.6
2025-06-04,7,19,41.3,3,242.7
2025-06-04,8,20.6,38.8,3.8,271.5
2025-06-04,9,22.7,33.9,2.7,271
2025-06-04,10,22.7,46.1,2.9,210.6
2025-06-04,11,22.6,40.7,4.1,214.1
2025-06-04,12,24.9,40.1,2.7,210.7
2025-06-04,13,27.7,24.8,3,257
2025-06-04,14,26.8,23.9,4,275.1
2025-06-04,15,26.3,27.2,3.5,289.3
2025-06-04,16,28.3,22.7,4.2,314.1
2025-06-04,17,27.5,22.8,3.8,276.4
2025-06-04,18,26.3,24.3,3.9,305.3
