day,h,t,rh,ws,wd
2025-06-01,0,17.3,58.3,1.8,243.5
2025-06-01,1,17.2,57.7,2.4,287.1
2025-06-01,2,16.8,53.1,0.6,279.6
2025-06-01,3,16.8,49.4,0.9,302.9
2025-06-01,4,16.9,52.8,2.4,287.3
2025-06-01,5,18.6,49.3,4.1,320.5
2025-06-01,6,19.1,48.6,4.2,314.4
2025-06-01,7,19.3,54,2.2,72.2
2025-06-01,8,20.7,51.9,1.7,63.2
2025-06-01,9,22.1,50.8,1.7,77.2
2025-06-01,10,22.6,61.6,2.3,79.1
2025-06-01,11,23.5,55.8,2.4,156.8
2025-06-01,12,23.1,58.2,4.1,183.9
2025-06-01,13,21.8,67.8,4.5,193
2025-06-01,14,22.9,50,3.2,174.9
2025-06-01,15,23.7,50.3,3.3,140.4
2025-06-01,16,22.3,64.5,2.7,208.8
2025-06-01,17,22.4,70.5,3,178.6
2025-06-01,18,21.3,70.8,2.4,188.7
2025-06-01,19,20,80.4,2.9,204.5
2025-06-01,20,19.6,80.4,0.6,143.8
2025-06-01,21,19.4,80.5,2.6,206
2025-06-01,22,18.9,86.6,0.7,150.1
2025-06-01,23,18.8,86.8,0.9,184.9
2025-06-02,0,18.3,90.6,0.9,223.2
2025-06-02,1,18,92.8,1.2,229.8
2025-06-02,2,17.9,92.3,0.6,246.1
2025-06-02,3,18,88.6,1.1,30.3
2025-06-02,4,17.7,92,1.8,192.1
2025-06-02,5,17.5,93.3,0.9,191.6
2025-06-02,6,17.8,91.3,0.9,226.3
2025-06-02,7,18.5,87,1.4,49.8
2025-06-02,8,19.7,79.5,1.5,145.5
2025-06-02,9,20.4,78.6,2.2,197.2
2025-06-02,10,20.2,81.2,2.9,182.3
2025-06-02,11,20.9,76,2.1,181.9
2025-06-02,12,20.9,73,2.4,186.9
2025-06-02,13,20.6,74.1,3.1,196.1
2025-06-02,14,20.9,79.4,2.8,202
2025-06-02,15,21.6,62.8,2.2,282.8
2025-06-02,16,21.5,57.8,2.8,215.4
2025-06-02,17,19.5,72.2,3.8,193.4
2025-06-02,18,18.4,79.7,2.5,177.4
2025-06-02,19,17.9,84,0.4,264.9
2025-06-02,20,18.2,72.9,2.4,58.1
2025-06-02,21,18.2,76.1,2.5,86.1
2025-06-02,22,17.8,80.8,1.9,45
2025-06-02,23,17.3,85.6,2,50.8
2025-06-03,0,17,91.6,1,96.6
2025-06-03,1,16.9,89.1,2.3,37.9
2025-06-03,2,16.8,90.7,2.1,39.8
2025-06-03,3,16.6,93.5,2,31
2025-06-03,4,16.7,94.9,0,0
2025-06-03,5,16.7,94.1,1.3,331
2025-06-03,6,16.8,92.4,1.7,311.1
2025-06-03,7,17.1,93.9,1.1,57.1
2025-06-03,8,17.9,94,0.7,359.4
2025-06-03,9,20.5,78.9,0.9,108.9
2025-06-03,10,21.9,75.2,1.7,119.8
2025-06-03,11,20.5,79.5,3.1,185.8
2025-06-03,12,20.3,78.6,2.8,162.2
2025-06-03,13,21.9,70.2,2.1,181.5
2025-06-03,14,21,72.5,4.6,190.3
2025-06-03,15,20.6,76.2,5.8,188.7
2025-06-03,16,21.2,74.7,4.3,184.5
2025-06-03,17,21.9,74.4,2.7,183.7
2025-06-03,18,21.3,75.3,1.7,188.5
2025-06-03,19,21,73.6,1,175.1
2025-06-03,20,21.4,49.8,1.5,253.5
2025-06-03,21,21.9,37.5,2.4,266.6
2025-06-03,22,22.2,34.3,4.8,268.8
2025-06-03,23,21.1,36.3,1.7,295.9
2025-06-04,0,20.5,33.3,1.1,304
2025-06-04,1,20.4,32.4,2.9,242.1
2025-06-04,2,19.2,37.5,2.7,269.3
2025-06-04,3,18.9,33.2,2.5,262.2
2025-06-04,4,18.6,33,2.4,276.4
2025-06-04,5,18,36.5,2.2,324.7
2025-06-04,6,17.7,37.6,1.7,302.6
2025-06-04,7,18.5,41.1,2.7,266.1
2025-06-04,8,21.3,34,3.9,232.5
2025-06-04,9,22.4,34.8,4.4,234.9
2025-06-04,10,23.9,38.5,4.1,228.9
2025-06-04,11,23.5,42.2,5.4,186.6
2025-06-04,12,24.7,46.3,5.5,187.5
2025-06-04,13,25,41.6,5.8,193.4
2025-06-04,14,25.4,40.6,4.8,200.8
2025-06-04,15,24.8,43.8,5.5,212.7
2025-06-04,16,24.6,45.1,7.5,230.5
2025-06-04,17,24.7,49.6,6.1,206.7
2025-06-04,18,24.6,50.1,4.5,205.7
2025-06-04,19,23.8,51,4.6,234.4
2025-06-04,20,24.1,24,4.7,272.7
