day,h,t,rh,ws,wd
2025-06-01,0,18.6,45.6,0.8,77.2
2025-06-01,1,17.7,52.8,0,0
2025-06-01,2,16.8,57.9,1.2,16.8
2025-06-01,3,16.7,58,0.3,351
2025-06-01,4,15.7,63.2,0.8,350.6
2025-06-01,5,15.6,64.3,0,32.7
2025-06-01,6,15.3,67,0.6,67.5
2025-06-01,7,16.4,63.9,0.8,54.1
2025-06-01,8,18.4,57.6,0.7,55.8
2025-06-01,9,21.6,49.8,1.1,133.8
2025-06-01,10,23.9,46.8,1.6,263.8
2025-06-01,11,26.5,42.6,1.5,129.4
2025-06-01,12,27.7,38.8,1.1,135.9
2025-06-01,13,29,34,1.4,154.2
2025-06-01,14,30,30.8,1,159.7
2025-06-01,15,30.3,24.2,1.4,147.9
2025-06-01,16,29.9,24.3,1.4,179.1
2025-06-01,17,30.1,24.2,1,264.8
2025-06-01,18,29.5,24.6,0.5,343
2025-06-01,19,26.9,50.3,3,126.3
2025-06-01,20,25,56.5,2.8,115.2
2025-06-01,21,23.8,60.1,1.4,127.7
2025-06-01,22,23,62.4,1.6,121.3
2025-06-01,23,22,66.4,1.2,121
2025-06-02,0,21.3,70.9,0.1,95.5
2025-06-02,1,21.1,71.9,0.4,54.2
2025-06-02,2,20.7,72.5,0.6,70
2025-06-02,3,20.2,75.5,0.8,79.1
2025-06-02,4,19.8,76.4,0.1,71.1
2025-06-02,5,19.5,78.9,0.9,25.7
2025-06-02,6,19.4,78,0.7,83
2025-06-02,7,19.7,76,0.9,48.8
2025-06-02,8,20,75.5,0.2,39.2
2025-06-02,9,21.2,71.8,0.8,57.1
2025-06-02,10,22.2,66.5,0.8,338.7
2025-06-02,11,23.6,59.9,0.6,306.7
2025-06-02,12,23.5,62.1,0.5,340.6
2025-06-02,13,23.8,60,1,347.9
2025-06-02,14,23.7,50.7,0.8,112
2025-06-02,15,23.8,57.6,0.5,124.4
2025-06-02,16,22.5,56.6,1.3,143
2025-06-02,17,22.3,60.5,0.9,160.3
2025-06-02,18,20.9,63.3,1,129.2
2025-06-02,19,20.6,61.9,2,293.7
2025-06-02,20,20,65.4,1.6,294.3
2025-06-02,21,19.6,67.8,1.8,301
2025-06-02,22,18.7,73.6,0,36.2
2025-06-02,23,19,71.6,0.7,313.7
2025-06-03,0,18.3,73.8,1.2,287
2025-06-03,1,18.3,74.5,1.3,300.6
2025-06-03,2,17.9,80.1,1.3,309.4
2025-06-03,3,17.9,80.1,0.5,301
2025-06-03,4,18,76.7,0.6,327
2025-06-03,5,17.7,84,0.7,1
2025-06-03,6,17.8,82.5,0,9.5
2025-06-03,7,18.7,75.3,0.4,309.1
2025-06-03,8,20.8,62.4,0.8,34.5
2025-06-03,9,22.3,57.3,1.2,165.3
2025-06-03,10,24.3,53.4,1.4,292.8
2025-06-03,11,25.1,45.9,3.7,296.9
2025-06-03,12,26.1,42.4,2.6,323
2025-06-03,13,26.4,46.3,2,289.2
2025-06-03,14,28,39.7,1.4,139.8
2025-06-03,15,28.1,32.8,2.2,306.2
2025-06-03,16,28,30.8,1.7,109.1
2025-06-03,17,27.2,31.1,2.1,258.3
2025-06-03,18,26.2,27.3,1.9,106.9
2025-06-03,19,24.9,30,1.6,98.9
2025-06-03,20,23.7,35.9,1,97.8
2025-06-03,21,22.8,36.5,1.2,95.7
2025-06-03,22,22.1,36.8,1,317.2
2025-06-03,23,21.8,33.4,0.8,42.5
2025-06-04,0,20.9,33.3,0.5,331.1
2025-06-04,1,19.9,34.2,0.7,131.4
2025-06-04,2,19.3,34.2,0.4,91.2
2025-06-04,3,18.1,36.9,0.1,130.5
2025-06-04,4,17.9,37.7,1.4,298.3
2025-06-04,5,17.2,41,0.6,309.8
2025-06-04,6,16.4,46.2,0.9,341.5
2025-06-04,7,18.9,41.3,1,304.6
2025-06-04,8,21.6,33.7,1,293.3
2025-06-04,9,23.4,28.3,1.2,109.4
2025-06-04,10,25.7,22.9,1.3,171.4
2025-06-04,11,27,24.5,1.6,148.5
2025-06-04,12,28.4,24.1,1.7,241.7
2025-06-04,13,28.5,16.3,2,158.3
2025-06-04,14,29,17.2,2.1,245
2025-06-04,15,29.2,16.4,2,172.8
2025-06-04,16,29.1,16.5,2.1,146.8
2025-06-04,17,27.7,18.6,2.2,274.4
2025-06-04,18,26.5,21.6,2,271.7
2025-06-04,19,25.6,23.3,1.5,273
2025-06-04,20,24.4,23.8,1.3,275.4
2025-06-04,21,23.6,26.1,1.5,92.7
2025-06-04,22,22.4,30.5,0.9,96.5
2025-06-04,23,21.4,35.6,1.5,106.5
2025-06-05,0,20.7,38.7,0.8,83
2025-06-05,1,20,41.9,0.4,19.7
2025-06-05,2,19.2,45.1,1,295.3
2025-06-05,3,18.7,47.7,0.1,69.3
2025-06-05,4,18.1,50.5,1,302.1
2025-06-05,5,17.5,54,1.4,305.1
2025-06-05,6,17.2,55.2,1.6,297.4
2025-06-05,7,19.6,49.7,0.5,297.3
2025-06-05,8,20.8,45.2,1,158.1
2025-06-05,9,23.2,40,0.9,113.7
2025-06-05,10,23.8,38.2,1.4,134.5
2025-06-05,11,25.7,31.9,1.2,115
2025-06-05,12,26.9,32.3,1.7,165.4
2025-06-05,13,27.7,30.7,1.9,277.9
2025-06-05,14,28,26.2,1.6,243.8
