day,h,t,rh,ws,wd
2025-06-01,0,16.5,75.8,1.2,244.7
2025-06-01,1,16.1,79.9,0.2,173.7
2025-06-01,2,15,89.5,0.5,140.2
2025-06-01,3,14.6,91.5,1.1,256.9
2025-06-01,4,14.1,92.3,0.9,248.1
2025-06-01,5,13.8,93.3,0.8,271.8
2025-06-01,6,13.4,95.4,0.7,283
2025-06-01,7,15.3,86.9,1.1,231.3
2025-06-01,8,18,74.6,0.8,255.3
2025-06-01,9,20.6,67.5,1,349.9
2025-06-01,10,23.1,55.8,1.1,61.9
2025-06-01,11,25.6,47,1.4,244.9
2025-06-01,12,28.1,43.8,2,59.8
2025-06-01,13,28.5,41.7,1.5,328.8
2025-06-01,14,29.9,34.1,1.7,314.5
2025-06-01,15,30.3,29.3,1.2,83.9
2025-06-01,16,30.7,30.3,1.7,304.6
2025-06-01,17,30.6,33.6,1.6,306.9
2025-06-01,18,29.9,33.1,2,255.7
2025-06-01,19,27.8,41.9,2.8,210.3
2025-06-01,20,26.2,49.5,3.6,183.9
2025-06-01,21,24.9,54,2.4,184.7
2025-06-01,22,23.8,59.8,1.5,198.1
2025-06-01,23,23.5,59.8,1.2,180.3
2025-06-02,0,21.2,71,1.6,257.2
2025-06-02,1,20.6,75,1.9,248.4
2025-06-02,2,20.1,75.2,0.4,306.5
2025-06-02,3,19.4,78.4,0.9,162.8
2025-06-02,4,18.3,88.3,0.7,226
2025-06-02,5,18.4,86.5,1.6,248.7
2025-06-02,6,18.4,88.1,1.5,256
2025-06-02,7,18.6,87.4,0.5,289.2
2025-06-02,8,19.4,85.3,0.4,352.8
2025-06-02,9,21,77.4,0.9,260.6
2025-06-02,10,22.3,68.7,0.4,247
2025-06-02,11,22.6,66.3,1.9,226
2025-06-02,12,24,57.3,2,207
2025-06-02,13,23.1,60.1,2.8,217.3
2025-06-02,14,23,60.7,2.3,192.2
2025-06-02,15,21.9,65.7,2.7,196.5
2025-06-02,16,21.8,65.5,2.6,198.7
2025-06-02,17,20.6,62.1,2.6,191.5
2025-06-02,18,20,68,2,242.1
2025-06-02,19,19.4,75.3,3.3,247.7
2025-06-02,20,19.2,72.7,1.6,222.3
2025-06-02,21,18.7,76.4,1.6,228
2025-06-02,22,17.9,85.6,0.6,195.3
2025-06-02,23,17.7,86.1,0.5,167.3
2025-06-03,0,17.3,91.1,0.4,225
2025-06-03,1,17.4,90.5,0.6,275.5
2025-06-03,2,16.9,95.8,0,0
2025-06-03,3,16.9,94.6,0.4,153.1
2025-06-03,4,16.9,93.7,0.5,181.1
2025-06-03,5,16.9,95.4,0.8,245.7
2025-06-03,6,16.8,96.3,0.3,193.8
2025-06-03,7,18.3,87.9,0.4,105.6
2025-06-03,8,19.6,79,0.4,64.9
2025-06-03,9,22.3,64.3,0.7,255
2025-06-03,10,23.8,57.4,2.3,50.8
2025-06-03,11,24.8,51.1,2.7,285.4
2025-06-03,12,25.6,50.5,3.2,293.7
2025-06-03,13,27.9,43.5,2.9,269.3
2025-06-03,14,28.5,41.7,4.5,270.7
2025-06-03,15,27.5,43.9,2.8,287.2
2025-06-03,16,28.1,35.7,4.3,282.3
2025-06-03,17,27.8,29.1,6.2,268.1
2025-06-03,18,25.9,32.8,6.4,285.4
2025-06-03,19,24.3,35.8,5.2,260.7
2025-06-03,20,22.5,39.2,3.3,245.4
2025-06-03,21,21.6,40.9,2.6,229.5
2025-06-03,22,20.5,44.2,2.5,213.6
2025-06-03,23,21.3,35.8,2.5,225.8
2025-06-04,0,20.5,34.1,3.4,286.2
2025-06-04,1,18.8,40.6,1.3,291.4
2025-06-04,2,18.4,42.7,1.4,327.8
2025-06-04,3,15.3,53.5,1.5,217.7
2025-06-04,4,13.5,69.1,2.1,235.6
2025-06-04,5,12.2,75.2,1.6,245.2
2025-06-04,6,12.7,74.4,2.1,250.7
2025-06-04,7,16,60.9,1.8,257
2025-06-04,8,21.7,37,1.3,202
2025-06-04,9,22.9,31.8,3.2,213.9
2025-06-04,10,24.8,29.8,4.3,206.1
2025-06-04,11,26.4,28.1,3,234.6
2025-06-04,12,28.9,23.2,3.5,270.3
2025-06-04,13,28.9,22.2,5.6,295
2025-06-04,14,29.3,21.2,6,291.1
2025-06-04,15,29.4,22,4,289.8
2025-06-04,16,28.4,21.7,5.8,303.2
2025-06-04,17,27.6,22.8,5.6,301.6
2025-06-04,18,26.4,24.6,5.8,307.5
2025-06-04,19,24.9,27.6,5.3,304.1
2025-06-04,20,23.3,30.8,4.2,289.3
2025-06-04,21,22.4,32.6,3.8,276.7
2025-06-04,22,21.4,35.2,3.2,289.5
2025-06-04,23,20.4,43.9,2.8,294.1
2025-06-05,0,17.2,57,2.2,142
2025-06-05,1,16.5,60.8,1.1,260.1
