day,h,t,rh,ws,wd
2025-06-01,0,14.3,63.3,0.5,270.3
2025-06-01,1,13.5,68,0.4,350.6
2025-06-01,2,14.4,51.3,2.4,317.9
2025-06-01,3,12.7,59.1,0.3,27.7
2025-06-01,4,13.4,55.1,1.7,338.3
2025-06-01,5,12.7,55.8,0.9,274.7
2025-06-01,6,12.7,61,1.1,32.7
2025-06-01,7,15.9,58.3,1.6,51.5
2025-06-01,8,18.2,54.8,0.9,97.5
2025-06-01,9,20.3,43.7,1.2,202.1
2025-06-01,10,22.8,41.8,1.3,151.6
2025-06-01,11,24.2,46.1,1.9,186.5
2025-06-01,12,24.6,47.7,2,158.7
2025-06-01,13,23.8,55.8,2.5,193.9
2025-06-01,14,22.8,57,3.1,180.9
2025-06-01,15,22.8,58.2,2.4,174
2025-06-01,16,22.4,60.9,2.1,186
2025-06-01,17,21.5,65.1,1.7,146.5
2025-06-01,18,20.7,68.6,1.6,134.4
2025-06-01,19,19.3,75.6,1.4,166.6
2025-06-01,20,18,82.5,1.2,129.1
2025-06-01,21,17.6,86.1,0.8,171.4
2025-06-01,22,16.8,89.8,1.1,19.5
2025-06-01,23,16.4,91,0.1,7.3
2025-06-02,0,16.4,92.1,0.7,31.8
2025-06-02,1,16.1,93,0.2,358.6
2025-06-02,2,16,93.8,0.5,209.5
2025-06-02,3,16,94.2,0.4,356.5
2025-06-02,4,16.4,95.2,1,295.5
2025-06-02,5,16,95.2,1.2,53.4
2025-06-02,6,16.5,94.1,0.7,326.8
2025-06-02,7,17.4,91.8,0.8,54.9
2025-06-02,8,18,88.8,0.8,48
2025-06-02,9,19.5,81.9,0.4,204.4
2025-06-02,10,21.4,73.4,1.3,174.5
2025-06-02,11,20.7,72.1,1.6,153.9
2025-06-02,12,21.3,67.5,1.6,175.5
2025-06-02,13,21,70.2,1,157.3
2025-06-02,14,21.6,57.3,1.9,220.3
2025-06-02,15,22,61.7,0.8,165.1
2025-06-02,16,21.4,67,1.2,260.7
2025-06-02,17,20.6,70.9,1.4,282.4
2025-06-02,18,20.2,71.7,1,246.7
2025-06-02,19,19.2,69.4,1.7,251.4
2025-06-02,20,18.3,77.8,1.2,21.5
2025-06-02,21,17.8,83.1,0.4,306.1
2025-06-02,22,17.6,82.4,0.6,36.1
2025-06-02,23,16.8,89.5,0.3,296.7
2025-06-03,0,16,90.2,0.5,299.5
2025-06-03,1,15.5,92.5,1,315.3
2025-06-03,2,15.4,94.5,1,308.8
2025-06-03,3,15.4,96,1.4,37.3
2025-06-03,4,15.4,94.8,2.3,155.3
2025-06-03,5,15.5,95.3,1.9,46.8
2025-06-03,6,15.6,95.7,1.7,53.4
2025-06-03,7,15.8,95.8,1.6,31.3
2025-06-03,8,16.6,94.4,1.7,16.4
2025-06-03,9,18,86.8,2.4,296.9
2025-06-03,10,19.8,77.3,2.3,45.5
2025-06-03,11,21,73.8,2.6,60.8
2025-06-03,12,22.2,66.5,2.1,26.4
2025-06-03,13,23.5,57.6,2.7,311.7
2025-06-03,14,24.3,61.4,2.2,182.8
2025-06-03,15,22.3,65.1,1.6,201
2025-06-03,16,21.7,70.5,2.3,136.7
2025-06-03,17,21.8,67.8,2.5,150.6
2025-06-03,18,21.3,72.1,0.8,182.9
2025-06-03,19,20.5,76.6,0.6,25.8
2025-06-03,20,20.2,60.5,1.2,312.3
2025-06-03,21,22.5,36.8,3.1,304.4
2025-06-03,22,21.1,40.6,2.2,320.6
2025-06-03,23,20.9,40.4,1.8,304.7
2025-06-04,0,20.5,33.4,2.9,324.5
2025-06-04,1,20.2,28.7,2.7,308.8
2025-06-04,2,16.9,39.3,1.3,329.2
2025-06-04,3,17.7,33.8,1.8,270.3
2025-06-04,4,15.9,37.3,0.8,340.8
2025-06-04,5,15.3,41.6,0.7,300.5
2025-06-04,6,16.2,39.4,0.6,261
2025-06-04,7,18.2,41.1,0.8,164.4
2025-06-04,8,20.7,30.2,0.9,213.1
2025-06-04,9,22.3,27.5,2.2,197.3
2025-06-04,10,23.6,28.3,4.9,224.3
2025-06-04,11,25.1,24.5,4.4,220.8
2025-06-04,12,25.7,21.3,4.2,247.4
2025-06-04,13,26.5,22.5,3.4,241
2025-06-04,14,27.4,22.2,3.1,270.2
2025-06-04,15,28.4,18.2,3.8,272.2
2025-06-04,16,28.6,17.2,3.4,256.4
2025-06-04,17,28.3,20,3.1,306.7
2025-06-04,18,27.1,18.7,3.4,317.7
2025-06-04,19,25.6,19.1,1.9,285.6
2025-06-04,20,24.3,21.7,3,299.9
2025-06-04,21,21.8,29.9,1.3,284.3
2025-06-04,22,20.4,33.1,1.2,331.5
2025-06-04,23,20.8,32,2.6,311.6
2025-06-05,0,20,34.9,2,321
2025-06-05,1,19.2,38.8,2.6,311.5
2025-06-05,2,18.4,42.8,2.1,317.9
2025-06-05,3,16.4,50.2,1.2,339.9
2025-06-05,4,17,51.2,2.4,322.4
2025-06-05,5,16,54.6,2.1,312.6
2025-06-05,6,16.7,56.2,1.4,322.5
2025-06-05,7,18.7,50.7,2.1,7.7
2025-06-05,8,20.6,45.4,1.5,311.5
2025-06-05,9,22.8,44.7,1.8,68
2025-06-05,10,23.8,35.5,2.6,261.9
2025-06-05,11,25.1,31.2,3.1,224.9
2025-06-05,12,25.1,36.6,2,157.3
2025-06-05,13,25.6,35.4,2.4,145.8
2025-06-05,14,25.5,33.8,2.9,168.7
2025-06-05,15,25.2,38.8,2.1,136.5
2025-06-05,16,25.1,40.1,2.5,133.2
2025-06-05,17,24.2,44.3,1,157.1
2025-06-05,18,23.1,43.4,1.3,187.3
2025-06-05,19,21.9,50.5,0.7,132.5
2025-06-05,20,20.4,54.4,0.4,139.5
2025-06-05,21,19.7,56.5,0.9,328.1
2025-06-05,22,19.1,53.1,0.9,36.7
2025-06-05,23,18.7,54.9,0.4,212
2025-06-06,0,18,60.2,0.7,291
2025-06-06,1,17.9,59.9,0.6,62.1
2025-06-06,2,19.8,53.2,1.6,282.4
2025-06-06,3,17.9,60.7,0.8,5.4
2025-06-06,4,17.4,63.5,1.8,311.3
2025-06-06,5,17.4,66.6,1.9,246.3
2025-06-06,6,15.6,74.4,0.4,255.5
2025-06-06,7,17.9,69.8,0.2,180.8
2025-06-06,8,19.9,65.5,1.4,54.7
2025-06-06,9,22.2,53.1,0.7,74.2
2025-06-06,10,24.7,47.5,1.1,169
2025-06-06,11,26.4,42.5,1.7,177.1
2025-06-06,12,27.7,43.1,1.9,200.8
2025-06-06,13,29.1,39.3,1.8,158.3
2025-06-06,14,28.8,36,2,183
2025-06-06,15,29.2,28.3,2.7,227
2025-06-06,16,27.8,31.8,2.6,232.8
2025-06-06,17,26.4,36.8,4.3,223.5
2025-06-06,18,25.5,40.4,4.3,231.3
2025-06-06,19,24.4,44,1.6,214
2025-06-06,20,22.9,48.7,0.9,136.1
2025-06-06,21,22.3,50.7,2.6,314.4
2025-06-06,22,21.3,52.9,1,175.1
2025-06-06,23,20.8,51.6,1.5,288.6
2025-06-07,0,20.5,52.8,2.1,276
2025-06-07,1,19,58.4,2.2,335.4
2025-06-07,2,18.4,59.7,0.9,36
2025-06-07,3,17.5,63.3,0.1,348.1
2025-06-07,4,17.6,61.8,1.6,306.8
2025-06-07,5,17.6,60.6,1.5,36.6
2025-06-07,6,18.1,60,1.2,324.1
2025-06-07,7,19.4,63.1,0.3,161.6
2025-06-07,8,21.7,56,0.5,173.6
2025-06-07,9,24.4,46.2,1.1,179.4
2025-06-07,10,26.4,36.6,2.3,196.8
2025-06-07,11,28.1,32.5,1.9,197.8
2025-06-07,12,29,36.3,1.7,144.8
2025-06-07,13,28.6,42.9,2.1,126.2
2025-06-07,14,27.5,45.7,1.8,172.8
2025-06-07,15,28.7,41.8,1.7,175.3
2025-06-07,16,28.6,37.6,1.7,150.7
2025-06-07,17,27.8,36.7,1.5,127.4
2025-06-07,18,26.2,37.9,1.1,160.1
2025-06-07,19,23.2,45,1.4,127.2
2025-06-07,20,21.6,54.1,0.5,301.1
