day,h,t,rh,ws,wd
2025-06-01,0,13.3,89.2,0.5,65
2025-06-01,1,12.4,89.7,0.7,151.3
2025-06-01,2,12,87.2,0.5,270.1
2025-06-01,3,11,93.4,0.5,2.8
2025-06-01,4,10.6,94.9,0.1,205.5
2025-06-01,5,10.1,94.5,0.4,147.9
2025-06-01,6,10.5,92.6,0.2,337.1
2025-06-01,7,12.6,87.8,0.1,278.9
2025-06-01,8,15.4,74.2,0.3,319.7
2025-06-01,9,19.1,62.6,0.6,29.6
2025-06-01,10,23.1,55.4,1.3,186.5
2025-06-01,11,25.8,45,1.7,174.6
2025-06-01,12,27.6,41.3,1.3,153.3
2025-06-01,13,28.3,39.5,2,236.6
2025-06-01,14,28.8,34.3,2.6,202.2
2025-06-01,15,29.1,34.5,3.6,226.3
2025-06-01,16,28.6,37.6,3.3,209.1
2025-06-01,17,26.8,46.7,2,189.1
2025-06-01,18,25.8,50,3.3,208
2025-06-01,19,24.5,52.5,2.4,225
2025-06-01,20,20.9,68.7,0.6,63.7
2025-06-01,21,19.3,76.7,0.2,104.1
2025-06-01,22,18.2,80.3,0.5,153.1
2025-06-01,23,17.7,85.7,0.3,109.3
2025-06-02,0,16.7,88.6,0.3,141.8
2025-06-02,1,16.1,90.8,0.3,136.6
2025-06-02,2,15.6,93,0.3,341.3
2025-06-02,3,15.5,94,0.3,105.5
2025-06-02,4,15.1,94.8,0.7,343.8
2025-06-02,5,15.2,94.1,0.5,288.6
2025-06-02,6,15.7,94,0.1,33.5
2025-06-02,7,16.5,91.7,0.1,24.1
2025-06-02,8,17.3,87.3,0.8,283.8
2025-06-02,9,19,81.8,0.2,336.8
2025-06-02,10,21.2,65.9,0.3,357.8
2025-06-02,11,21.7,68.8,0.6,205.1
2025-06-02,12,21.3,69.1,4.1,226.9
2025-06-02,13,21.7,66.5,3.8,234.7
2025-06-02,14,21.1,66.2,3.1,203.4
2025-06-02,15,21.4,67.1,3.3,223.1
2025-06-02,16,20.1,72.3,3.4,207.7
2025-06-02,17,19.2,78.2,2.5,242.9
2025-06-02,18,19,78.9,1.6,269.3
2025-06-02,19,17.6,86.7,1.8,219
2025-06-02,20,17.2,89.9,0.8,213
2025-06-02,21,16.7,94.2,0.6,291.7
2025-06-02,22,16.6,94.8,0.6,322.9
2025-06-02,23,16.4,96,0.5,217.5
2025-06-03,0,16,96.8,0.3,198.3
2025-06-03,1,15.9,97.3,0,336.7
2025-06-03,2,15.9,97.3,0.1,205
2025-06-03,3,15.7,97.4,0.2,349.6
2025-06-03,4,15.7,97.5,0.4,26.8
2025-06-03,5,15.6,97,0.4,84
2025-06-03,6,15.9,96.9,1,315.3
2025-06-03,7,16.4,95.3,0.3,145.2
2025-06-03,8,17.4,86.2,0.6,208.4
2025-06-03,9,20.3,70.9,1,199.1
2025-06-03,10,21.9,65,3.7,51.3
2025-06-03,11,22.5,68.6,2.8,39.4
2025-06-03,12,23.7,57.3,1.5,222.5
2025-06-03,13,24.4,52.2,2.2,341.1
2025-06-03,14,26.5,52,1.6,276.1
2025-06-03,15,26.6,38.9,3.3,285.7
2025-06-03,16,27.7,34.2,3.8,288.2
2025-06-03,17,26.9,35.5,3.9,295.1
2025-06-03,18,26.1,33.1,4,13.4
2025-06-03,19,24.4,30.6,2.9,312.8
2025-06-03,20,23,27.6,4.4,26.3
2025-06-03,21,21.6,32,1.7,330.4
2025-06-03,22,20.9,37.1,2,282.6
2025-06-03,23,21.3,30.7,1.7,301.8
2025-06-04,0,16.2,51,1,114.7
2025-06-04,1,14.1,63.7,0.8,145.7
2025-06-04,2,12.8,68,1.2,29.3
2025-06-04,3,13.3,57.7,0.8,113.8
2025-06-04,4,10.3,76.1,1,48.8
2025-06-04,5,9.1,81.8,1.1,62.9
2025-06-04,6,9.1,84.7,0.3,232.6
2025-06-04,7,11.7,71,0.3,270.3
2025-06-04,8,15.3,54.7,0.5,231.5
2025-06-04,9,19.9,42.5,0.8,186.6
2025-06-04,10,23.1,31,1.8,223.8
2025-06-04,11,24.1,28.6,6,197.6
2025-06-04,12,25.8,29.5,4.2,189.7
2025-06-04,13,27.1,25.8,3.7,194.4
2025-06-04,14,28.1,20.2,4.9,246.2
2025-06-04,15,28.2,21,4.3,271.9
2025-06-04,16,28.4,21.8,4.4,249.1
