day,h,t,rh,ws,wd
2025-06-01,0,17.6,49.8,1.4,1.5
2025-06-01,1,16.3,54.8,0.7,347.1
2025-06-01,2,16.7,59,2.1,36.1
2025-06-01,3,15,64.7,0.8,10.2
2025-06-01,4,14.2,69.8,1,14.6
2025-06-01,5,13.6,73.5,0.9,358.6
2025-06-01,6,14.3,72.7,1.1,30.1
2025-06-01,7,16.4,64,1,47
2025-06-01,8,20,56.9,0.5,79.3
2025-06-01,9,22,52.3,1.4,251.1
2025-06-01,10,23.9,48.5,1.8,197.1
2025-06-01,11,26.4,43.2,1.1,340.7
2025-06-01,12,27.9,38.7,1.5,219.6
2025-06-01,13,29.5,32.1,2,251.1
2025-06-01,14,29.7,27.5,1.4,233.6
2025-06-01,15,30.4,25.5,2.3,255.2
2025-06-01,16,29.9,24.8,1.7,257.6
2025-06-01,17,29.9,24.1,1.1,301.2
2025-06-01,18,29.1,25.9,1.2,295.6
2025-06-01,19,27,36.1,1.9,286.6
2025-06-01,20,25.8,49,2,236.3
2025-06-01,21,24.2,53.9,1.2,202.7
2025-06-01,22,23.5,60.2,2,2.9
2025-06-01,23,22.8,57.8,0.4,256.5
2025-06-02,0,21.4,68,1.5,6.7
2025-06-02,1,20.8,70.2,1.8,313.8
2025-06-02,2,20,71.8,0.3,295.7
2025-06-02,3,19.2,78,1.1,22.4
2025-06-02,4,18.8,78.7,1.1,313.6
2025-06-02,5,18.9,78.1,1.2,20.7
2025-06-02,6,19.3,77.7,1.5,327.2
2025-06-02,7,19.7,74.7,1,302.5
2025-06-02,8,20.1,74.7,0.6,231.2
2025-06-02,9,21.5,68.9,0.5,143
2025-06-02,10,21.8,68.5,2.3,359.2
2025-06-02,11,23.2,64.2,1.4,254
2025-06-02,12,21.6,72,2.3,266.1
2025-06-02,13,22.7,53.8,2.8,243.5
2025-06-02,14,22.8,54.8,2.8,258
2025-06-02,15,21.5,64.2,2.5,253.6
2025-06-02,16,21.5,60,2.4,246.1
2025-06-02,17,20.8,61.2,3.1,242.1
2025-06-02,18,19.7,63.1,2.4,265.9
2025-06-02,19,19.3,66.1,1.9,273.8
2025-06-02,20,18.9,69.7,1.3,272.4
2025-06-02,21,18.6,69.8,2,274.5
2025-06-02,22,17.2,81.1,1.1,265.6
2025-06-02,23,17.4,80.3,0.9,274.2
2025-06-03,0,17.2,83.4,1.1,259.9
2025-06-03,1,17.2,83.8,0.7,282.2
2025-06-03,2,16.7,88.1,0.4,281.3
2025-06-03,3,16.8,88.6,0.7,264.9
2025-06-03,4,16.8,88.8,0.4,286.2
2025-06-03,5,16.9,88.2,0.9,299.1
2025-06-03,6,17,82.6,0.2,279
2025-06-03,7,18.7,80.2,1.1,284.2
2025-06-03,8,19.7,72.6,1.1,283.6
2025-06-03,9,22,60,2.8,315.7
2025-06-03,10,23.8,51.6,2.8,324.1
2025-06-03,11,24.8,46.1,3.2,346.9
2025-06-03,12,26.8,42.5,2.8,40
2025-06-03,13,25.6,44.8,2.5,273.1
2025-06-03,14,27.6,36.5,3.1,270.6
2025-06-03,15,27.9,34.6,2.8,276.9
2025-06-03,16,27.6,31.7,2.8,269.7
2025-06-03,17,27.2,34.5,1.9,275
2025-06-03,18,25.4,33.1,2.9,264.2
2025-06-03,19,23.5,36.1,1.5,255.6
2025-06-03,20,22.5,38,2.7,278.5
2025-06-03,21,21.5,39.7,2.7,277.7
2025-06-03,22,20.5,40.8,1.7,259.3
2025-06-03,23,20.1,36.9,1.9,278.3
2025-06-04,0,19.5,33.2,1.5,268
2025-06-04,1,19.1,30.1,1.5,281.1
2025-06-04,2,16.6,39.9,1.9,298.5
2025-06-04,3,16.6,38.7,2.1,298
2025-06-04,4,16.3,40,2,274.3
2025-06-04,5,15.7,48.5,2.3,254.8
2025-06-04,6,15.7,48.6,1.3,237.9
2025-06-04,7,17.8,44.4,1.9,264.7
2025-06-04,8,21.1,36.2,1.8,274.8
2025-06-04,9,23.5,28.8,2.7,241
2025-06-04,10,25,27.9,3.2,277.7
2025-06-04,11,27,24.3,2.7,288.6
2025-06-04,12,28.4,22.8,3,260.1
2025-06-04,13,28.3,21.3,3.3,299.3
2025-06-04,14,28.9,19.5,3.4,290.6
2025-06-04,15,28.9,17.7,3.4,283.6
2025-06-04,16,27.8,17.2,4.4,280.4
2025-06-04,17,27.2,18.4,3.2,282.2
2025-06-04,18,26.1,20.9,3.9,293.9
2025-06-04,19,24.8,23.3,3.4,294.5
2025-06-04,20,23.2,26.5,2.7,300.2
2025-06-04,21,21,31.3,1.9,302.5
2025-06-04,22,21.2,31.3,2.2,317.1
2025-06-04,23,20.4,38.5,2.4,281.8
2025-06-05,0,19.7,41.4,2.9,264.3
2025-06-05,1,18.4,45.9,1.2,212
2025-06-05,2,18.2,47,1.6,246.7
2025-06-05,3,16.5,54.8,1.4,271.7
2025-06-05,4,16.3,55.8,1.4,261
2025-06-05,5,15.2,60.9,1.5,289.4
2025-06-05,6,16,59.3,1,298.4
2025-06-05,7,19.4,52,0.1,292
2025-06-05,8,21.7,44,1.3,269.1
2025-06-05,9,22.5,41.5,1.8,287.3
2025-06-05,10,24.5,36.7,2.4,297.5
2025-06-05,11,26.1,31.6,2.3,261.6
2025-06-05,12,27.5,29.6,2.2,283.5
2025-06-05,13,28,29,2.1,306.8
2025-06-05,14,28.2,24.6,2.2,325
2025-06-05,15,29.3,26.2,2.9,280.3
2025-06-05,16,28.8,28.2,2.2,283.3
2025-06-05,17,28.8,29.3,1.9,27.7
2025-06-05,18,27.7,31.1,2.8,325.6
2025-06-05,19,26.8,32.5,3.2,314
2025-06-05,20,25.4,34.3,2.7,304.4
2025-06-05,21,22.9,41.5,1.5,269.7
2025-06-05,22,22.7,44.9,1.6,257.4
2025-06-05,23,21.5,52.2,1.9,257.4
2025-06-06,0,20.9,54.9,2.2,262.7
2025-06-06,1,20.1,56.9,1.5,288.2
2025-06-06,2,18.3,65.2,0.4,44.8
2025-06-06,3,17.7,67.7,0.6,337.1
2025-06-06,4,17.8,67.2,0.6,312.5
2025-06-06,5,18.1,66,0.9,309.6
