day,h,t,rh,ws,wd
2025-06-01,0,16.4,61.6,1.6,258.4
2025-06-01,1,16,61.7,1.5,231.2
2025-06-01,2,15.8,60.2,2,245.3
2025-06-01,3,15.2,59.5,1.5,275
2025-06-01,4,14.8,66.9,1.2,294
2025-06-01,5,14.4,69.3,0,250
2025-06-01,6,14.9,70.5,0.6,240.7
2025-06-01,7,16.8,75.3,0.6,268.7
2025-06-01,8,18.3,75.6,1.6,45.2
2025-06-01,9,19,74.2,2.4,55.6
2025-06-01,10,19,74,3.2,58
2025-06-01,11,19.1,76.8,5,57.4
2025-06-01,12,19,76.8,6,53.7
2025-06-01,13,19.1,77.2,4,43.7
2025-06-01,14,18.9,76.6,5.6,51.6
2025-06-01,15,19,78.1,3.9,50.9
2025-06-01,16,19,77.1,3.7,49.8
2025-06-01,17,18.7,77.4,2.9,54.8
2025-06-01,18,18.5,79.1,2.4,42.2
2025-06-01,19,18.1,82.7,2.2,52.3
2025-06-01,20,17.9,83.8,1.3,343.7
2025-06-01,21,17.7,86.1,0.5,319.3
2025-06-01,22,17.7,86.3,0.5,19.7
2025-06-01,23,17.8,84.5,1.5,206
2025-06-02,0,17.8,84.3,1.4,176.7
2025-06-02,1,18.2,85.7,1.4,217.8
2025-06-02,2,18.1,84.8,1.5,221.2
2025-06-02,3,18.1,85.9,2,233.2
2025-06-02,4,18,85.7,1.6,281.8
2025-06-02,5,18,84.6,1.8,216.9
2025-06-02,6,18.1,83.8,1,249.9
2025-06-02,7,19,79.8,1.9,241.6
2025-06-02,8,20.5,72.7,2.1,245.1
2025-06-02,9,22,63.8,2.6,264.8
2025-06-02,10,22.3,62.2,1.6,265.5
2025-06-02,11,21.9,75.3,2.1,73.2
2025-06-02,12,22.4,69.3,2.1,54.6
2025-06-02,13,22.5,76.9,1.6,49
2025-06-02,14,24.3,47,2.7,243.7
2025-06-02,15,24.1,56.4,3.5,215.3
2025-06-02,16,24.4,56.8,1.8,221.9
2025-06-02,17,23.7,54.7,2.8,240.4
2025-06-02,18,23.1,48.8,4,198.8
2025-06-02,19,22.3,49.8,1.8,191
2025-06-02,20,21.3,61,1.2,218.4
2025-06-02,21,20.8,60.1,1.8,247.1
2025-06-02,22,20.7,57.6,0.1,112.1
2025-06-02,23,20.5,58.8,1.6,111.8
2025-06-03,0,19.6,68.8,2.6,116.1
2025-06-03,1,18.1,77.8,3.5,97.4
2025-06-03,2,17.8,81.3,0.6,54.5
2025-06-03,3,17.4,85.1,2.2,55.1
2025-06-03,4,17.2,87.7,0.5,18.3
2025-06-03,5,17,91.5,1.8,48.6
2025-06-03,6,16.6,95.2,1.9,37.9
2025-06-03,7,16.8,94.9,1.6,31.5
2025-06-03,8,17,94.2,1.5,55.3
2025-06-03,9,17.1,92.1,2.7,54.3
2025-06-03,10,17.2,91.9,1.7,61
2025-06-03,11,18.4,86.7,1.6,83.6
2025-06-03,12,20.5,76.6,2.1,73.2
2025-06-03,13,20.8,73.1,4.3,56.3
2025-06-03,14,20.6,78.7,4.2,53.8
2025-06-03,15,20.8,78.6,3.6,43.6
2025-06-03,16,22.8,70,2.5,70.3
2025-06-03,17,22.7,70.1,2.5,54.4
2025-06-03,18,22.2,70.9,2.7,25.9
