day,h,t,rh,ws,wd
2025-06-01,0,16.7,62.4,0.1,83.6
2025-06-01,1,15.3,68,0.2,28.6
2025-06-01,2,15.3,69.7,0.3,78.7
2025-06-01,3,14.2,73.4,0.3,4.3
2025-06-01,4,14.3,74,1.1,53.5
2025-06-01,5,12.9,79,0.1,345.5
2025-06-01,6,14,78.1,0.5,55.1
2025-06-01,7,15.7,70.8,1.6,42.9
2025-06-01,8,19.1,61.5,0.5,166
2025-06-01,9,21.7,54,1,142.1
2025-06-01,10,24.6,50.2,1.8,172.9
2025-06-01,11,26.6,47.8,1.8,231.2
2025-06-01,12,28.5,41.7,1.9,233
2025-06-01,13,29.6,37.4,1.3,245.8
2025-06-01,14,30.6,31.3,1.6,256.1
2025-06-01,15,31.3,28.7,2.5,224.8
2025-06-01,16,31.1,29.2,1.4,276.9
2025-06-01,17,30.7,30.8,1,250.2
2025-06-01,18,30.2,28.7,1.3,299.4
2025-06-01,19,26.8,52.8,1.5,58.9
2025-06-01,20,25.4,58.7,1.7,104.4
2025-06-01,21,24.1,64.2,0.9,46.7
2025-06-01,22,22.2,69.8,0.1,69.7
2025-06-01,23,22.1,71.8,0.7,51
2025-06-02,0,20,79.2,0,0
2025-06-02,1,19.7,80.4,0,209.8
2025-06-02,2,18.8,84,0,0
2025-06-02,3,19.2,81.9,0.1,54.5
2025-06-02,4,18.5,84.9,0.1,347.1
2025-06-02,5,18.6,84.8,0.1,48.2
2025-06-02,6,19.1,82.3,0.1,37.6
2025-06-02,7,19.5,80.9,0.1,14
2025-06-02,8,20.1,78.6,0,42.6
2025-06-02,9,21.2,75.4,0.1,63
2025-06-02,10,22.7,70.1,0.1,176.9
2025-06-02,11,24.2,61.9,0.1,262.7
2025-06-02,12,23.5,66,0.1,246.8
2025-06-02,13,24.2,57,2,257.9
2025-06-02,14,23.8,54.1,2.1,265.8
2025-06-02,15,23.4,60.7,1.9,247.6
2025-06-02,16,22.4,61.4,1.9,254
2025-06-02,17,22.1,63.9,1.9,240.5
2025-06-02,18,20.6,63.3,2.1,251.6
2025-06-02,19,20.2,65.1,0.8,303
2025-06-02,20,19.7,71.5,0.8,290.8
2025-06-02,21,19.3,72.4,0.2,297.9
2025-06-02,22,19,73.1,0.4,263.5
2025-06-02,23,18.6,76.2,0.1,261
2025-06-03,0,17.3,89.9,0.1,312.2
2025-06-03,1,17.2,90.1,0.1,330.1
2025-06-03,2,17,95.5,0,0
2025-06-03,3,17.1,96.2,0,0
2025-06-03,4,17.1,92.4,0,341.3
2025-06-03,5,17,92.7,0,0
2025-06-03,6,17.4,89.3,0,0
2025-06-03,7,18.8,82.9,0,251.9
2025-06-03,8,21,66.7,0.1,219.2
2025-06-03,9,23.6,57.8,1.1,258.4
2025-06-03,10,25,48.3,2.4,340.6
2025-06-03,11,26.2,47.6,2,166.2
2025-06-03,12,27.7,42,2,312.3
2025-06-03,13,27.2,44.9,2.2,275.3
2025-06-03,14,29,39.1,2.9,298.5
2025-06-03,15,29.2,35.5,3.2,282.9
2025-06-03,16,28.9,34.1,2.9,282.3
2025-06-03,17,28.2,34.9,3,266.4
2025-06-03,18,26.8,31.4,3,262.7
2025-06-03,19,24.7,36.2,2.8,262.9
2025-06-03,20,23.1,41.7,1.8,271.3
2025-06-03,21,22.2,41.7,2,270.7
2025-06-03,22,21.6,40.2,2.1,269.7
2025-06-03,23,21.7,35.9,2.8,258
2025-06-04,0,20.3,38.6,1.7,249.2
2025-06-04,1,17.4,44.6,0.9,254.8
2025-06-04,2,15.1,53.3,0.3,286.3
2025-06-04,3,13.8,60.9,0.7,275.4
2025-06-04,4,12.9,64.1,0.1,224.5
2025-06-04,5,12.2,71.1,0.3,341.8
2025-06-04,6,12.9,68.3,0,0
2025-06-04,7,16.4,58.9,0.7,296.9
2025-06-04,8,21,38.3,1.3,257.3
2025-06-04,9,23.8,33.1,2.4,235.4
2025-06-04,10,25.7,30.1,2.7,234.2
2025-06-04,11,26.9,28.5,3.2,256.3
2025-06-04,12,28.5,23,4.3,260.1
2025-06-04,13,29.3,23.9,3.3,259.6
2025-06-04,14,29.6,22.8,4.5,252.9
2025-06-04,15,29.7,23.6,3.6,278.5
2025-06-04,16,29.4,23.2,3.5,270.6
2025-06-04,17,28.2,25,3.7,285.1
2025-06-04,18,26.8,27.3,3.9,291.3
2025-06-04,19,25.4,29.6,2.2,288.3
2025-06-04,20,24.2,30.3,2.7,283.8
2025-06-04,21,21.8,35.4,1,275.8
2025-06-04,22,21.9,36.8,2.4,276.4
2025-06-04,23,20.6,41.1,1.8,269.2
2025-06-05,0,18.5,48.2,0.1,224
2025-06-05,1,17.5,52.8,0.9,271.8
2025-06-05,2,16.3,57.9,0.1,55.4
2025-06-05,3,14,67.6,0.2,317.7
2025-06-05,4,13.4,75.5,0,0
2025-06-05,5,13,76.7,0,0
2025-06-05,6,14,75.1,0,0
2025-06-05,7,17.2,63.5,0,299.1
2025-06-05,8,21,50.9,1.8,237.3
2025-06-05,9,23,44.2,2.3,260
2025-06-05,10,24.9,39.9,2.3,251.9
2025-06-05,11,26.1,35.5,2.9,248.7
