day,h,t,rh,ws,wd
2025-06-01,0,16,66.6,0.9,122.4
2025-06-01,1,15.1,68.6,1.1,250.8
2025-06-01,2,14.7,74.1,0.6,84.3
2025-06-01,3,14.3,77,1.2,43.2
2025-06-01,4,13.7,76.4,0.4,44.5
2025-06-01,5,13.1,84.5,0.4,210.8
2025-06-01,6,14,84.6,0,315.5
2025-06-01,7,16.2,69.7,0.2,146.3
2025-06-01,8,19.5,61.2,0.7,337.9
2025-06-01,9,21.8,58,1.6,222.5
2025-06-01,10,24.3,47.4,1.8,257.3
2025-06-01,11,26.4,45.7,1.6,230.7
2025-06-01,12,27.3,45.3,2.3,237.3
2025-06-01,13,27.2,45.1,4.2,217.7
2025-06-01,14,27.5,46.7,3.6,229.7
2025-06-01,15,26.9,48.6,3.8,229.3
2025-06-01,16,26.4,51.5,3,229.5
2025-06-01,17,26.3,50.1,2.9,241.7
2025-06-01,18,24.1,60.7,1.9,225.9
2025-06-01,19,22.8,65.7,1.8,221.1
2025-06-01,20,21.1,73.7,1,187
2025-06-01,21,19.9,77.4,1,138
2025-06-01,22,19.4,79.7,1.4,188.8
2025-06-01,23,18.6,84.4,0.6,116.8
2025-06-02,0,17.9,84,0.4,163.1
2025-06-02,1,18.2,85.7,1.1,213.2
2025-06-02,2,17.6,90.4,0.9,226.3
2025-06-02,3,17.8,85.8,1.5,235.6
2025-06-02,4,17,90.2,0.3,232.7
2025-06-02,5,16.8,89.9,0.5,221.7
2025-06-02,6,17.9,89.1,0.1,90.6
2025-06-02,7,18.4,84.3,0.1,95.9
2025-06-02,8,19.6,82.3,0.4,38
2025-06-02,9,21,71.9,0.6,270.7
2025-06-02,10,22.3,67.7,1.4,220.5
2025-06-02,11,22.8,69.8,2.2,223.6
2025-06-02,12,21.8,73.3,2,227.4
2025-06-02,13,21.2,67.9,2.7,215.3
2025-06-02,14,21.5,66.6,2.2,238.3
2025-06-02,15,21.5,66.6,2.6,224.7
2025-06-02,16,21.8,59.9,0.9,165.4
2025-06-02,17,20.8,70.8,1.1,228.3
2025-06-02,18,19.8,77,2.3,222.3
2025-06-02,19,19,84,0.9,220.1
2025-06-02,20,18.5,87.4,1.1,142.9
2025-06-02,21,17.6,93,1.7,54.9
2025-06-02,22,16.8,93.2,2.4,50.9
2025-06-02,23,17,92.7,1.9,43
2025-06-03,0,16.3,96.6,2.1,55.4
2025-06-03,1,16.5,94.5,1.8,79.5
2025-06-03,2,16.4,96.8,2.4,56.1
2025-06-03,3,16.1,99.4,1.7,68.1
2025-06-03,4,16.1,99.6,1.8,56.4
2025-06-03,5,16.2,99.3,1.4,73.6
2025-06-03,6,16.6,98.9,0.4,56.9
2025-06-03,7,16.8,97.9,1.5,47.3
2025-06-03,8,17.9,92.7,1.3,66.4
2025-06-03,9,20.5,76.6,1.1,105.6
2025-06-03,10,22.3,67.2,1.4,145.9
2025-06-03,11,23.5,67.2,1.1,173
2025-06-03,12,24.5,62.6,1.5,222.8
2025-06-03,13,24.3,66.8,2,232.6
2025-06-03,14,25.3,63.1,3.5,224.1
2025-06-03,15,24.6,62.1,4.1,224.3
2025-06-03,16,24.2,65,4.2,219.8
2025-06-03,17,24.1,65.9,3,211.9
2025-06-03,18,24.5,67.2,2,237.6
2025-06-03,19,23.8,64.6,1.9,195.7
2025-06-03,20,24.6,38.7,2.1,298.5
2025-06-03,21,22.5,46,1.2,292.1
2025-06-03,22,22.7,36.1,1.8,305.8
2025-06-03,23,21.8,37.6,1.8,284.8
2025-06-04,0,22.1,31,2,294.9
2025-06-04,1,20.4,35.1,1.3,279.2
2025-06-04,2,16.8,49.6,1.5,175.3
2025-06-04,3,16.3,53.3,2.1,196.1
2025-06-04,4,14.8,61.8,1.4,176.8
2025-06-04,5,13.7,64.1,0.7,210.6
2025-06-04,6,13.3,72.6,1,199
2025-06-04,7,17.3,55.2,1,193.2
2025-06-04,8,21.1,39.5,1.3,204.7
2025-06-04,9,23.7,33.1,1.2,260.4
2025-06-04,10,25.3,29.4,2.1,231.3
2025-06-04,11,26.9,24.4,3.1,290.7
2025-06-04,12,26.2,32.3,5.5,204.1
2025-06-04,13,27.3,32.7,4.3,222.4
2025-06-04,14,27.6,35.3,5.1,206.3
