day,h,t,rh,ws,wd
2025-06-01,0,13.6,78.3,0.6,145.5
2025-06-01,1,13.8,74.7,1,156.3
2025-06-01,2,11.8,85.6,0.1,255.7
2025-06-01,3,11,89.2,0.1,359.9
2025-06-01,4,11.2,87,0.6,247.6
2025-06-01,5,10.3,91.4,0.1,17.8
2025-06-01,6,10.5,92.7,0.3,71.4
2025-06-01,7,13.8,82.1,0.6,10.9
2025-06-01,8,16.5,72.4,0.7,11.1
2025-06-01,9,20.1,59.2,0.8,358.7
2025-06-01,10,23.5,51.1,1,117.6
2025-06-01,11,25.2,47.1,1.4,83.9
2025-06-01,12,26.6,44.1,1.9,105
2025-06-01,13,27.3,38.1,1.9,124.9
2025-06-01,14,28.6,37,1.5,4
2025-06-01,15,27.7,37.3,1.7,130.1
2025-06-01,16,26.8,42.8,3,133.4
2025-06-01,17,26.1,48.9,1.2,92.1
2025-06-01,18,24.3,52.7,1,221.3
2025-06-01,19,23,59.8,1.4,191.5
2025-06-01,20,21.4,63.6,1.6,208.6
2025-06-01,21,19.7,71.4,0.9,196.5
2025-06-01,22,18.7,76.9,1.2,180.3
2025-06-01,23,18.4,78.1,1.9,191.3
2025-06-02,0,17.8,80.8,1.5,185.2
2025-06-02,1,17.2,82.6,1.8,189.7
2025-06-02,2,16.6,86.4,1.6,184.2
2025-06-02,3,15.9,89.8,1,157
2025-06-02,4,15.9,87.5,0.7,163.5
2025-06-02,5,16,88,1.6,175.5
2025-06-02,6,16.6,84,1.5,183.7
2025-06-02,7,16.4,88.1,0.2,118.7
2025-06-02,8,17.6,79.9,0.6,260.9
2025-06-02,9,19.2,72.6,0.3,92.7
2025-06-02,10,21.2,66.3,1.1,156.6
2025-06-02,11,21.6,66.8,0.6,105.6
2025-06-02,12,21.2,63.5,0.9,234.7
2025-06-02,13,21.5,66.1,1.2,87.8
2025-06-02,14,20.9,54.6,1,326.6
2025-06-02,15,21.1,58.2,1,135.2
2025-06-02,16,20.3,66.2,1.3,196.3
2025-06-02,17,19.2,77.3,1,263.2
2025-06-02,18,18.4,87.6,0.6,178
2025-06-02,19,16.7,91.1,0.4,209.9
2025-06-02,20,16.3,93.1,0.5,307.4
2025-06-02,21,15.9,95.5,0.6,347.5
2025-06-02,22,15.7,96.3,0.3,2
2025-06-02,23,15.3,95.7,0.4,263.3
2025-06-03,0,15.2,97.7,0.3,347.1
2025-06-03,1,15.2,97.8,0.2,33.7
2025-06-03,2,15.2,98.2,0.2,121
2025-06-03,3,15.2,98.5,0,318
2025-06-03,4,15.1,98.6,0.1,122.1
2025-06-03,5,15.2,98.6,0,0
2025-06-03,6,15.3,98.7,0.7,281.5
2025-06-03,7,15.9,97.8,0.1,260.8
2025-06-03,8,17.3,91.1,0,312.4
2025-06-03,9,20.7,69,1.1,342.2
2025-06-03,10,22.4,63.5,2.2,264.9
2025-06-03,11,21.9,61.6,2.1,237.6
2025-06-03,12,23.6,60.7,1.1,284
2025-06-03,13,24.2,56.7,1.8,47.6
2025-06-03,14,26.3,47.6,2.3,254.8
2025-06-03,15,26.2,51.2,2.3,53.7
2025-06-03,16,26.7,42.5,2.2,296
2025-06-03,17,26.4,39.9,2.1,299.6
2025-06-03,18,25,39.2,2.1,294
2025-06-03,19,23.1,40.3,2,298.9
2025-06-03,20,19.1,55.6,0.5,20.3
2025-06-03,21,18.5,45.5,0.7,306.8
2025-06-03,22,20.4,37.1,2.4,303.8
2025-06-03,23,20.2,34.7,2.6,289.7
2025-06-04,0,17.6,44.8,2,285.9
2025-06-04,1,14.1,63,0.3,217.1
2025-06-04,2,13,60.3,0.5,212.2
2025-06-04,3,12.1,64.8,0.4,207.7
2025-06-04,4,10.3,75.9,0.6,249.9
2025-06-04,5,9.3,82.7,0.1,141.4
2025-06-04,6,9.4,82.3,0.3,138.3
2025-06-04,7,13.4,70.1,0.2,65.5
2025-06-04,8,16.5,52.4,0.7,57.1
2025-06-04,9,20.2,45.2,0.7,91.2
2025-06-04,10,23.8,31.7,1.6,78.1
2025-06-04,11,24.7,29.2,2.5,84.1
2025-06-04,12,26,30.5,2.7,56.4
2025-06-04,13,26.8,27.5,2.9,90.5
2025-06-04,14,27.9,22.1,2.2,47
2025-06-04,15,27.6,23.2,2.8,59
2025-06-04,16,27.7,20.9,3,3.9
2025-06-04,17,27.3,23.2,2.4,223.4
