day,h,t,rh,ws,wd
2025-06-01,0,16.1,83.5,0.2,13.1
2025-06-01,1,15.3,90.5,0.3,285.3
2025-06-01,2,14.1,92.1,1,237.4
2025-06-01,3,13.6,92.6,1.2,250
2025-06-01,4,13.1,92.7,0.6,269.6
2025-06-01,5,12.3,92.7,0.3,262.2
2025-06-01,6,12.7,92.4,0.5,283.5
2025-06-01,7,14.2,92.5,1.2,283.4
2025-06-01,8,17.3,73.9,0.5,95
2025-06-01,9,21.6,62.7,0.4,153.4
2025-06-01,10,23.2,44.3,0.8,348.9
2025-06-01,11,25.4,40.5,1.1,13.9
2025-06-01,12,26.7,31.3,1.1,4.8
2025-06-01,13,28.3,24.1,1.6,304.8
2025-06-01,14,29.2,26,1.8,86.1
2025-06-01,15,29.4,27.9,1.8,167
2025-06-01,16,29.2,33.8,2.1,126.2
2025-06-01,17,28.4,30,3.3,200.3
2025-06-01,18,28.2,30.5,2.7,221
2025-06-01,19,26.4,36.4,2.6,190.3
2025-06-01,20,24.5,42.5,3.9,148
2025-06-01,21,23.2,50.1,2.8,140.8
2025-06-01,22,21.2,61.2,1.4,55.1
2025-06-01,23,19.9,68.2,1.3,40.9
2025-06-02,0,18.9,73.1,1.6,43
2025-06-02,1,17.7,85.9,0.4,179.2
2025-06-02,2,17.1,92.1,0.5,253.2
2025-06-02,3,17,92,1.5,74.3
2025-06-02,4,16.3,92.1,1,286
2025-06-02,5,16.2,92,0.7,244.7
2025-06-02,6,16.4,92.2,0.1,255.4
2025-06-02,7,16.9,92.2,0.2,237.8
2025-06-02,8,18,88.4,0.5,267.6
2025-06-02,9,19.4,79.4,0.4,33.6
2025-06-02,10,20.5,73.2,1.6,94.6
2025-06-02,11,21.1,68.6,1.1,242
2025-06-02,12,21,76.9,1.8,147.8
2025-06-02,13,21.6,68.4,2.6,155.4
2025-06-02,14,21.4,62.8,3.1,190.6
2025-06-02,15,21.2,60.7,2.4,154.5
2025-06-02,16,20.1,60.6,3.2,209.7
2025-06-02,17,19.6,74,0.7,179
2025-06-02,18,18.7,87,0.8,180.1
2025-06-02,19,17.5,86.1,0.7,197.8
2025-06-02,20,17,92.2,0.7,227.1
2025-06-02,21,16.9,92.1,0.5,229.2
2025-06-02,22,16.5,91.7,0.9,217.7
2025-06-02,23,16.3,92,1.7,248.7
2025-06-03,0,16.3,92.1,1.3,238.8
2025-06-03,1,16.2,92,1.4,249.7
2025-06-03,2,16.4,92,1.5,265.1
2025-06-03,3,16.2,92.2,0.7,237.8
2025-06-03,4,16.2,92.2,1.3,239.8
2025-06-03,5,16.1,92.1,1.8,274.8
2025-06-03,6,16,92.1,2,279.1
2025-06-03,7,16.7,92.2,1.5,272.8
2025-06-03,8,18.7,83,3,263.2
2025-06-03,9,20.7,68.2,3.3,275.1
2025-06-03,10,23.3,55.7,2.1,270.6
2025-06-03,11,25.2,41,3.5,298.1
2025-06-03,12,26.2,36.8,2.5,315.6
2025-06-03,13,27,33.9,3.9,268.5
2025-06-03,14,28.1,26.6,4.9,283.1
2025-06-03,15,28.2,26.7,4.6,266.1
2025-06-03,16,27.8,24.3,6.6,265.8
2025-06-03,17,27.6,21.6,6.6,264.4
