day,h,t,rh,ws,wd
2025-06-01,0,11.6,92.5,0.6,168
2025-06-01,1,11.3,94.3,0.5,163.5
2025-06-01,2,10.9,95.4,0.6,156.5
2025-06-01,3,10.9,96.1,0.5,155
2025-06-01,4,10.7,96.6,0.6,166
2025-06-01,5,10.4,96.6,0.6,156.5
2025-06-01,6,10.9,96.4,0.7,162.3
2025-06-01,7,13,93.2,0.8,142.4
2025-06-01,8,16.2,85.3,0.6,146.1
2025-06-01,9,19.8,61.4,0.8,335.9
2025-06-01,10,22.4,59.8,1,322.4
2025-06-01,11,23.2,52.5,1.8,348.9
2025-06-01,12,24.1,49,1.4,334
2025-06-01,13,20.7,72.2,0.9,234.2
2025-06-01,14,23,60.4,0.8,148.8
2025-06-01,15,21.6,68,0.8,300.9
2025-06-01,16,22.1,60.7,1,297.8
2025-06-01,17,20,72.2,0.4,288
2025-06-01,18,18.2,79,0.4,188.1
2025-06-01,19,17.7,82.6,0.4,177.2
2025-06-01,20,16.8,84.9,0.6,161
2025-06-01,21,15.5,87.4,0.6,161.9
2025-06-01,22,15.1,90,0.5,168
2025-06-01,23,14.9,92.1,0.4,163.3
2025-06-02,0,14.4,94.7,0.5,149.7
2025-06-02,1,14.3,95.3,0.5,170.5
2025-06-02,2,14.1,96.1,0.4,169.6
2025-06-02,3,13.9,96.5,0.4,160
2025-06-02,4,13.8,97.1,0.4,157.3
2025-06-02,5,14.1,96.5,0.4,158.2
2025-06-02,6,14.4,96.2,0.3,164.3
2025-06-02,7,14.9,94.3,0.4,168.9
2025-06-02,8,16.6,88.8,0.5,326.2
2025-06-02,9,17,88.7,0.3,293.5
2025-06-02,10,17.8,86,0.4,141.3
2025-06-02,11,17,90.3,0.3,177.9
2025-06-02,12,18.8,83.2,1,318.8
2025-06-02,13,18.9,69.2,0.7,295.9
2025-06-02,14,17.5,86.6,0.4,157.3
2025-06-02,15,17.2,88.7,1,22.5
2025-06-02,16,16,85.7,1.2,352.4
2025-06-02,17,15.1,89.2,0.4,136.6
2025-06-02,18,14.3,94.3,0.3,175
2025-06-02,19,13.9,94.9,0.4,162
2025-06-02,20,13.6,95.6,0.4,141.4
2025-06-02,21,13.5,96.6,0.3,171.2
2025-06-02,22,13.4,97.1,0.3,169.4
2025-06-02,23,13.1,96.9,0.5,157.2
2025-06-03,0,13.2,97.5,0.2,222.5
2025-06-03,1,13.2,97.8,0.3,169.1
2025-06-03,2,13.2,98.3,0.2,184.1
2025-06-03,3,13,98.2,0.4,196.5
2025-06-03,4,12.9,98.2,0.4,176.1
2025-06-03,5,12.6,97.8,0.8,174.5
2025-06-03,6,13.3,93,0.9,144.4
2025-06-03,7,15.8,75.8,1.1,124.1
2025-06-03,8,17.1,71.5,1,83
2025-06-03,9,18.1,64.9,2.1,51.9
2025-06-03,10,19.4,60.2,2.3,41.2
2025-06-03,11,20.3,58.2,1.8,28.8
2025-06-03,12,21,56.6,2.1,93.3
2025-06-03,13,21.5,50.9,1.7,63.3
2025-06-03,14,23.2,42.7,2,58.4
2025-06-03,15,21.9,41.3,2.5,41
2025-06-03,16,22.6,43.1,1,16.6
2025-06-03,17,20.7,44.5,1.4,350.1
2025-06-03,18,19.9,39.7,1.5,75.3
2025-06-03,19,18.3,43.3,1.6,104.5
2025-06-03,20,17.6,35.5,2.3,75.6
2025-06-03,21,17.6,29.7,2.4,106.3
2025-06-03,22,17.8,24.7,2.9,82.4
2025-06-03,23,17.2,27,2.3,100
2025-06-04,0,14.2,43.4,1,164.6
2025-06-04,1,11.8,50.9,1,158.5
2025-06-04,2,12.2,51,0.9,165.3
2025-06-04,3,10.4,57.9,0.9,159
2025-06-04,4,10.5,58.5,0.9,183.7
2025-06-04,5,9,64.9,0.5,180.2
2025-06-04,6,8.8,71.8,0.4,143.7
2025-06-04,7,11.8,70.5,0.5,160.2
2025-06-04,8,16.8,45.7,0.9,203.5
2025-06-04,9,19.1,38.5,1.7,39.1
2025-06-04,10,20.8,33.8,1.3,138.4
2025-06-04,11,22.5,24.8,1.6,8.6
2025-06-04,12,23.3,24.2,1.7,35.5
2025-06-04,13,22.7,24.1,2.5,64.2
2025-06-04,14,23,22.6,4.3,39.3
2025-06-04,15,23.2,26.6,1.9,63.5
2025-06-04,16,22.4,19.9,3.3,73.1
2025-06-04,17,21.7,21.9,2.5,46.4
2025-06-04,18,20.1,31,1.5,119.3
2025-06-04,19,18.3,40.1,0.8,327.1
2025-06-04,20,16.6,44.6,1.3,183
2025-06-04,21,17.7,38,1.8,74.4
2025-06-04,22,14.7,52.8,0.4,197.7
2025-06-04,23,12.5,62.4,1,178.1
2025-06-05,0,13.9,57.1,0.9,179.4
2025-06-05,1,12.3,64.9,0.9,180.5
2025-06-05,2,11,71.8,0.7,175.1
2025-06-05,3,11.4,74,0.8,179.6
2025-06-05,4,10.7,75.6,0.4,223.9
2025-06-05,5,10.2,77.2,0.6,167.1
2025-06-05,6,10.1,81.2,0.4,201.7
2025-06-05,7,12.2,78.7,0.7,134.2
2025-06-05,8,17.5,46.8,1.3,60.7
2025-06-05,9,19.4,39.5,1.5,351.5
2025-06-05,10,20.3,47.5,1.7,331.4
2025-06-05,11,21.6,44.3,1.8,330.3
2025-06-05,12,24.4,35.6,0.7,157.1
2025-06-05,13,23.8,38.1,1.2,5
2025-06-05,14,24.8,38.9,1.5,324.4
2025-06-05,15,24.6,38.3,0.6,222.7
2025-06-05,16,22.7,48.3,0.7,235.9
2025-06-05,17,21.8,53.4,1.2,306.1
2025-06-05,18,20,63.8,0.5,173.9
2025-06-05,19,18.6,71.1,0.6,178.5
2025-06-05,20,16.9,71.5,0.5,166.6
2025-06-05,21,15,73.8,0.5,162
2025-06-05,22,14.1,71.8,0.7,168.8
2025-06-05,23,13.1,68.2,0.5,179.9
2025-06-06,0,12.8,71.2,0.4,165.6
2025-06-06,1,13.1,70.7,0.4,173
2025-06-06,2,13.4,68.8,0.6,168.4
2025-06-06,3,13.5,65,0.6,158.2
2025-06-06,4,13.3,63.3,0.6,145
2025-06-06,5,13.3,65.9,0.7,158.5
2025-06-06,6,13.7,71.4,0.6,160.4
2025-06-06,7,14.9,77,0.5,166.6
2025-06-06,8,17.1,75.1,0.7,167
2025-06-06,9,17.9,71.3,0.6,172.2
2025-06-06,10,22.5,42.3,0.9,70.8
2025-06-06,11,20.2,55.8,0.8,110.1
2025-06-06,12,23.1,50.7,1,29.8
2025-06-06,13,20,58.8,0.5,179.3
2025-06-06,14,25.1,31,1.1,154.6
2025-06-06,15,21.5,55.5,0.5,216.8
2025-06-06,16,19.6,64,0.5,173.5
2025-06-06,17,19.2,64.2,0.5,182.2
2025-06-06,18,18.8,66.8,0.6,177.1
2025-06-06,19,17.7,69.5,0.5,177.7
2025-06-06,20,15.9,67.2,0.7,166.1
2025-06-06,21,14.5,70.2,0.6,167.4
2025-06-06,22,14.1,71.9,0.6,157.6
2025-06-06,23,13.6,75.3,0.6,159.6
2025-06-07,0,13.3,77.5,0.6,161
2025-06-07,1,13.3,77.6,0.6,171.7
2025-06-07,2,13.5,77.3,0.5,161.7
2025-06-07,3,13.4,77.5,0.6,167.4
2025-06-07,4,13.5,78.9,0.5,173.6
2025-06-07,5,13.3,79.4,0.7,166.6
2025-06-07,6,13.4,81.6,0.6,165.6
2025-06-07,7,15.4,80.7,0.9,140.2
2025-06-07,8,17.7,71.1,0.7,137.9
2025-06-07,9,21.5,56.1,0.7,329.3
2025-06-07,10,23.3,53.6,1.4,340.3
2025-06-07,11,23.8,56.5,1.4,317.6
2025-06-07,12,25.6,51,1.6,29.5
2025-06-07,13,26.1,48.5,1.3,334.9
2025-06-07,14,26.3,44.4,1.5,326.7
2025-06-07,15,26.4,41.2,2.2,323.7
2025-06-07,16,25.6,44.1,1.3,347.7
2025-06-07,17,24.9,45.8,1.3,329.9
2025-06-07,18,21.8,62,0.4,249.7
2025-06-07,19,20.5,69.5,0.4,178.4
2025-06-07,20,18.9,72.8,0.3,197.4
2025-06-07,21,17.7,76.5,0.5,162.1
2025-06-07,22,17.2,75.3,0.5,168.3
2025-06-07,23,16.8,78.3,0.5,163.8
2025-06-08,0,16.6,83.3,0.4,173.6
2025-06-08,1,16.5,86.4,0.4,171.6
2025-06-08,2,16.5,88.4,0.4,166.1
2025-06-08,3,16.4,89,0.5,160.5
2025-06-08,4,16,90.6,0.5,161.9
2025-06-08,5,15.5,91.8,0.4,159.6
2025-06-08,6,15.4,91.5,0.5,151
2025-06-08,7,17.2,85,0.2,60.1
2025-06-08,8,20,73.7,1,322.6
2025-06-08,9,20.9,72.7,1.2,323.4
2025-06-08,10,21.1,74.3,1.2,331.3
2025-06-08,11,22.3,70.3,1.4,328.1
2025-06-08,12,22.8,67.6,1.6,333.6
2025-06-08,13,24.1,61.8,2.2,322.2
2025-06-08,14,23.6,66.5,2,318
2025-06-08,15,24.3,66,0.7,194.1
2025-06-08,16,21.9,75.1,0.4,191.5
2025-06-08,17,23,69.7,1,322.9
2025-06-08,18,20.9,79.5,0.5,176.2
2025-06-08,19,19.9,84,0.5,183.4
2025-06-08,20,18.7,89.6,0.5,176.7
2025-06-08,21,17.8,92.3,0.4,174.7
2025-06-08,22,17.2,95,0.6,174.8
2025-06-08,23,16.7,95.9,0.6,146.1
2025-06-09,0,16.5,96.1,0.5,165
2025-06-09,1,16.4,97.2,0.4,184.8
2025-06-09,2,16.4,97.6,0.4,168.9
2025-06-09,3,16.2,97.3,0.5,165.5
2025-06-09,4,15.8,97.8,0.4,162.4
2025-06-09,5,15.7,98,0.3,145.4
2025-06-09,6,16,98,0.3,164.6
2025-06-09,7,17.2,95.1,0.4,162.5
2025-06-09,8,18.2,91.4,0.3,166.8
2025-06-09,9,20.5,85.9,0.7,5.4
2025-06-09,10,22.3,80.5,1.1,322.2
2025-06-09,11,24.2,67.6,1.7,327.5
2025-06-09,12,24.3,70.7,0.7,277.9
2025-06-09,13,24.3,68.6,1.3,317.6
2025-06-09,14,25.8,64.4,0.9,218.7
2025-06-09,15,24.9,64.5,0.5,247.7
2025-06-09,16,24,67.2,0.6,146
2025-06-09,17,23.4,73.4,0.5,300.3
2025-06-09,18,22.7,74.4,1,317.6
2025-06-09,19,20.8,83.6,0.5,173.4
2025-06-09,20,19.6,89.3,0.4,161.5
2025-06-09,21,18.6,92.5,0.6,157.7
2025-06-09,22,17.8,95,0.4,164.6
2025-06-09,23,17.5,96.1,0.5,161.6
2025-06-10,0,17.3,96.5,0.5,172.5
2025-06-10,1,17.2,97.3,0.4,169.4
2025-06-10,2,16.9,97.7,0.4,163.6
