day,h,t,rh,ws,wd
2025-06-01,0,13.1,82.2,2,190.2
2025-06-01,1,12.7,82.1,1.9,198.1
2025-06-01,2,12.1,84.6,1.7,197.2
2025-06-01,3,11.5,88.5,2.5,182.8
2025-06-01,4,12.2,83,1.2,217.7
2025-06-01,5,11.6,84.4,1.3,187.2
2025-06-01,6,12,82.4,2,198.5
2025-06-01,7,13.6,79.8,1.6,185.8
2025-06-01,8,17.7,73.4,0.9,170.8
2025-06-01,9,18,77.1,3.4,70.8
2025-06-01,10,18.8,75.5,2.9,82.1
2025-06-01,11,18.7,76.4,3.7,83.2
2025-06-01,12,18.8,78.2,4.1,73.4
2025-06-01,13,18.4,78,4.5,73.3
2025-06-01,14,18.6,79.3,3.5,83.7
2025-06-01,15,18.8,79,3.3,77.6
2025-06-01,16,19.3,77.4,2.7,84
2025-06-01,17,19.1,76.8,3.1,171.1
2025-06-01,18,18.1,83.1,4.1,188
2025-06-01,19,17.8,84,3.7,191.6
2025-06-01,20,17.5,86.5,2.1,177.5
2025-06-01,21,17.8,87.1,2.3,200.5
2025-06-01,22,17.1,88,0.8,328.6
2025-06-01,23,16.5,90.6,0.7,177.9
2025-06-02,0,16,91.3,0,0
2025-06-02,1,16,92.1,0.4,200.4
2025-06-02,2,15.5,92.1,0.4,71.8
2025-06-02,3,15.5,92.6,0.1,304.5
2025-06-02,4,15.2,92.1,0,0
2025-06-02,5,15.4,92.3,0.1,320.4
2025-06-02,6,15.8,91.6,0.2,201.8
2025-06-02,7,16.5,94.6,0.8,204.7
2025-06-02,8,17.9,91.3,0.3,84.2
2025-06-02,9,19.2,86.4,2.3,77.2
2025-06-02,10,19.1,87.9,3,72.6
2025-06-02,11,19,89.7,2.5,79.1
2025-06-02,12,19.6,84.2,2.7,170.5
2025-06-02,13,19.1,89.1,1.9,182.3
2025-06-02,14,20.5,80.9,1.8,130.5
2025-06-02,15,21.1,80,1.8,87.8
2025-06-02,16,20.1,84.9,2.4,67.8
2025-06-02,17,20.5,82.4,0.7,185.2
2025-06-02,18,19.4,84.9,3.1,76.2
2025-06-02,19,19.5,84.3,1.5,147.4
2025-06-02,20,19,84.8,3.5,175.7
2025-06-02,21,20.4,73.8,2.8,182.3
2025-06-02,22,19.5,78,3.1,182.6
2025-06-02,23,19,82.6,0.6,198.9
2025-06-03,0,18.8,78.9,0.6,208.6
2025-06-03,1,18.8,75.7,1,172.3
2025-06-03,2,18.6,75.4,0.7,135.6
2025-06-03,3,18.7,76,2.3,183.6
2025-06-03,4,18.2,78.4,2.4,163.8
2025-06-03,5,16.9,89.3,0,0
2025-06-03,6,16.5,93.8,0.9,314.8
2025-06-03,7,16.5,95,1.1,21
2025-06-03,8,16.9,94.2,0.6,281.4
2025-06-03,9,18.3,88.9,0.1,131.5
2025-06-03,10,21,75.6,0.7,93.2
2025-06-03,11,19,83.7,3.6,90.9
2025-06-03,12,20,77.1,2.8,71.2
2025-06-03,13,21.6,74.2,2.9,90.2
2025-06-03,14,21.4,71.7,2.8,153
2025-06-03,15,20.4,78.2,3,167.3
2025-06-03,16,20.6,75.5,2.6,156.9
2025-06-03,17,20,78,3.2,170.3
2025-06-03,18,19.4,83.7,5.9,183.2
2025-06-03,19,19.3,85.2,4.6,189.6
2025-06-03,20,18.5,89.6,2.6,190.5
2025-06-03,21,22.5,32.8,1.9,282.3
2025-06-03,22,21.8,34.2,2.1,278
2025-06-03,23,21.7,34.6,3,289.4
2025-06-04,0,21,31.6,2.7,265.7
2025-06-04,1,19,38.5,1.3,266.2
2025-06-04,2,15.7,54.3,1.5,189.7
2025-06-04,3,15,51,2.6,220.7
2025-06-04,4,14,56.1,2.5,204.6
2025-06-04,5,18.8,34.3,3.8,273.8
2025-06-04,6,19.5,34.2,8.5,254.2
2025-06-04,7,19.4,36.9,6.6,251
2025-06-04,8,20.3,40.5,4.5,219.5
2025-06-04,9,21.8,37.7,3.7,207.9
2025-06-04,10,22.3,40.2,4.5,169.7
