day,h,t,rh,ws,wd
2025-06-01,0,16.9,76.2,0.3,296.1
2025-06-01,1,16.3,75.7,0.7,356.5
2025-06-01,2,15.8,76.4,1.8,50
2025-06-01,3,14.9,78.2,1.5,40.5
2025-06-01,4,14.3,78.9,1.4,55.4
2025-06-01,5,13.7,79,1,63.5
2025-06-01,6,13.7,80.9,1.3,36.5
2025-06-01,7,15.5,75,1.6,61.3
2025-06-01,8,18.4,66.2,0.8,79.9
2025-06-01,9,20.8,58.7,0.8,133.8
2025-06-01,10,24,50.5,1,160.1
2025-06-01,11,26,45.5,0.7,229.1
2025-06-01,12,27.5,43.5,2,125.9
2025-06-01,13,29.1,38.6,2.1,224.9
2025-06-01,14,30,37.4,2.4,146.4
2025-06-01,15,30.8,35,3,191.1
2025-06-01,16,30.3,35.4,3.2,170.4
2025-06-01,17,28.3,44.2,3.7,155.9
2025-06-01,18,26.9,47,2.8,169
2025-06-01,19,25.3,52.4,2.5,184.4
2025-06-01,20,23.6,61.2,1.5,198.4
2025-06-01,21,22.9,63.1,0.8,164.1
2025-06-01,22,21.4,71.1,1.2,352.3
2025-06-01,23,20.5,74.4,0.8,238.3
2025-06-02,0,19.7,77,0.6,328.7
2025-06-02,1,18.8,81,0.6,265.6
2025-06-02,2,18.5,81.6,0.5,296.9
2025-06-02,3,18.1,82.3,0.2,306.9
2025-06-02,4,18.1,81.4,0.6,326
2025-06-02,5,17.9,82.9,0.7,38.4
2025-06-02,6,18.1,82.6,1.4,47.1
2025-06-02,7,18.5,81,0.6,64.1
2025-06-02,8,19.2,79.2,1.7,29.8
2025-06-02,9,20.6,72.5,0.8,75.1
2025-06-02,10,22.2,66.4,1,138.7
2025-06-02,11,22.4,67.6,0.6,205.5
2025-06-02,12,22.2,67.5,2.4,145.3
2025-06-02,13,23.2,67.4,1.4,160.8
2025-06-02,14,22.5,57.9,2.5,211.4
2025-06-02,15,22.7,52.4,2,191.3
2025-06-02,16,22,59.3,1.8,241.7
