day,h,t,rh,ws,wd
2025-06-01,0,17.3,52,0.8,137.3
2025-06-01,1,16.2,60.8,1.3,133
2025-06-01,2,15.2,66.6,0.5,140.9
2025-06-01,3,14.5,69.2,1.4,130
2025-06-01,4,14.1,71.3,1.2,120.7
2025-06-01,5,13.4,73.9,2,115.3
2025-06-01,6,13.4,75.1,1.2,117.1
2025-06-01,7,14.6,73.7,1.6,109.6
2025-06-01,8,17.8,60.8,0.9,7.8
2025-06-01,9,20.9,51.5,1.6,53.2
2025-06-01,10,23.6,46.1,1.4,76.8
2025-06-01,11,25.8,42.5,1.3,257.9
2025-06-01,12,27,37.9,1.2,1.2
2025-06-01,13,28.4,34.2,1.4,280.2
2025-06-01,14,29.8,26.9,1.5,172.6
2025-06-01,15,30.6,23.1,1.1,209
2025-06-01,16,30.9,23.4,1.1,270.6
2025-06-01,17,30.3,22.9,1.6,205.2
2025-06-01,18,28.7,38.5,2.2,102.6
2025-06-01,19,26.1,53.1,2.9,138.6
2025-06-01,20,23.6,60.9,2.9,115.8
2025-06-01,21,22.7,64.1,2.2,126.4
2025-06-01,22,21.5,68.8,1.9,141.5
2025-06-01,23,20.5,72.8,1.8,131.6
2025-06-02,0,19.8,74.7,0.8,191.1
2025-06-02,1,19.3,77.9,1.1,151.4
2025-06-02,2,18.8,80.9,1,114.3
2025-06-02,3,18.4,83.9,1.9,114.8
2025-06-02,4,18.2,84.4,1.2,118.2
2025-06-02,5,18.1,85.2,1.1,125
2025-06-02,6,17.9,85.2,1.8,114.6
2025-06-02,7,18.4,81.6,1.3,117.2
2025-06-02,8,19.2,79.3,0.8,154.8
2025-06-02,9,20.3,74.2,1.5,87
2025-06-02,10,21.7,67.2,0.9,323.3
2025-06-02,11,23.1,61.3,1.1,89.2
2025-06-02,12,23,64.1,1.1,120.4
2025-06-02,13,24.2,49.3,1.7,96
2025-06-02,14,23.8,50.2,2.8,286.8
2025-06-02,15,24,50.4,2,281.3
2025-06-02,16,22.9,58,2.5,250.6
2025-06-02,17,21.9,64.3,2,206.9
2025-06-02,18,21.2,64.9,1.3,244.1
2025-06-02,19,20.4,67.2,1,154.9
2025-06-02,20,19.8,63,1.4,330.3
2025-06-02,21,19.6,66.5,1.8,12.8
2025-06-02,22,18.6,72.8,1.2,347.7
2025-06-02,23,18.8,70.8,1.5,296.5
2025-06-03,0,18.2,74.9,1.5,291.7
2025-06-03,1,18,76.5,0.9,351.9
2025-06-03,2,17.5,81.7,1.9,317.7
2025-06-03,3,17.4,83.9,0.4,48
2025-06-03,4,17.2,87.1,0.9,131.4
2025-06-03,5,17.1,84.3,0.1,268.6
2025-06-03,6,17.2,83.4,0.2,102.8
2025-06-03,7,17.8,82.6,0.7,105.6
2025-06-03,8,20.5,70.5,0.9,259.3
2025-06-03,9,22.1,57.3,2.4,298
2025-06-03,10,23.7,53.1,2.3,280.7
2025-06-03,11,24.3,46.9,3.6,287.1
2025-06-03,12,25.6,45.5,2.6,295.8
2025-06-03,13,25.9,43.8,3.8,287.8
2025-06-03,14,27.3,38.6,4.3,283.4
2025-06-03,15,28.1,34.3,3.7,299.2
2025-06-03,16,28.5,30.2,4.4,302.7
2025-06-03,17,27.6,29.3,4.7,297.3
2025-06-03,18,26.7,25.4,6.2,294.9
