day,h,t,rh,ws,wd
2025-06-01,0,14.1,96.6,0.9,49.5
2025-06-01,1,13.4,100,0.9,37.8
2025-06-01,2,12.9,100,0.5,10.4
2025-06-01,3,12.4,100,0.6,53.5
2025-06-01,4,12,100,0.4,353.9
2025-06-01,5,11.3,100,1.8,38
2025-06-01,6,11.3,100,0.7,59.4
2025-06-01,7,13.5,100,0.8,77.3
2025-06-01,8,16.9,84.1,0.8,136.4
2025-06-01,9,21.8,64,0.7,172
2025-06-01,10,24.1,54.1,1.5,186.6
2025-06-01,11,26.7,45.4,1.3,251.1
2025-06-01,12,27.2,40.8,1.6,259.1
2025-06-01,13,28.6,36.8,2.2,101.3
2025-06-01,14,28.6,40.5,2,182.6
2025-06-01,15,28.7,39.6,2.9,209.4
2025-06-01,16,28.4,40.8,3.1,250.4
2025-06-01,17,28,46.1,3.4,244.7
2025-06-01,18,26.4,50.5,3.1,256.3
2025-06-01,19,24.5,61.6,2.4,172.5
2025-06-01,20,20.7,80.1,0.8,353.1
2025-06-01,21,19.2,87.2,1.3,39.3
2025-06-01,22,18,92.6,1,31.1
2025-06-01,23,17.4,96.9,0.9,329
2025-06-02,0,16.6,99.2,0.9,14.6
2025-06-02,1,15.9,100,1.1,23.2
2025-06-02,2,15.6,100,1.2,38.9
2025-06-02,3,15.7,100,0.1,17.5
2025-06-02,4,15.5,100,0.5,43
2025-06-02,5,15.5,100,0.9,63.7
2025-06-02,6,15.8,100,0.4,47.8
2025-06-02,7,16.7,100,0.3,78.5
2025-06-02,8,17.8,96.2,0.2,207.3
2025-06-02,9,19.3,90.6,0.8,302.7
2025-06-02,10,20.5,80.9,1.7,248.9
2025-06-02,11,20.7,79.3,1,250.7
2025-06-02,12,20.7,86.6,2.1,172.4
2025-06-02,13,20.9,70.4,2.2,201.7
2025-06-02,14,20.2,66.5,1.7,219.9
2025-06-02,15,20.1,76,1.8,168.1
2025-06-02,16,19,76,0.6,252.8
2025-06-02,17,18.2,88.3,1,30.4
2025-06-02,18,17.3,100,1.3,30.2
2025-06-02,19,16.7,100,0.6,342.7
2025-06-02,20,16.3,100,1.1,2.5
2025-06-02,21,16.1,100,0.8,357.9
2025-06-02,22,16,100,0.3,346.9
2025-06-02,23,15.9,100,0.4,336
2025-06-03,0,15.8,100,0,0
2025-06-03,1,15.8,100,0.9,31.4
2025-06-03,2,15.9,100,0.3,58.7
2025-06-03,3,15.8,100,0,68
2025-06-03,4,15.7,100,0.6,84.3
2025-06-03,5,15.2,100,0.9,30.4
2025-06-03,6,15.1,100,1.1,31.6
2025-06-03,7,15.9,100,1.7,33.8
2025-06-03,8,18.9,89.3,0.4,75.7
2025-06-03,9,21.6,67.4,1.7,233.6
2025-06-03,10,23.4,57.1,4,30.5
2025-06-03,11,25.1,49.6,2.8,39.5
2025-06-03,12,26,55.1,4.4,306.5
2025-06-03,13,25.9,50.8,2.7,339
2025-06-03,14,26.5,47.3,4.4,292.4
2025-06-03,15,27.2,43.8,5.1,296.4
2025-06-03,16,27.1,44.9,5.2,284.3
2025-06-03,17,26.1,44.6,5.4,288.5
2025-06-03,18,24.7,45,2.9,297.2
2025-06-03,19,23.5,34.1,4.6,313.6
2025-06-03,20,22.4,30.2,4.5,308.3
2025-06-03,21,21.6,32.8,3.2,313.3
2025-06-03,22,19.3,46.3,1,8.3
2025-06-03,23,19.2,43.7,2.7,291.3
2025-06-04,0,18.6,45.5,1.7,325.4
2025-06-04,1,15.3,63.4,3,38.1
2025-06-04,2,15.7,61.3,2.3,356.1
2025-06-04,3,13.2,70.3,1.6,308.7
2025-06-04,4,11.1,81.2,0.9,335.4
2025-06-04,5,10,87.8,1.3,351.7
2025-06-04,6,10,87.8,2.2,36.9
2025-06-04,7,14.2,72.2,0.3,42.1
2025-06-04,8,18.6,56.2,0.5,337.4
2025-06-04,9,22,39.2,3,245.2
2025-06-04,10,24.3,35.1,2.4,222.9
2025-06-04,11,25.8,33.4,2.3,162.7
2025-06-04,12,27.2,23.4,4.8,309.6
2025-06-04,13,27.1,27.1,7.3,288.6
2025-06-04,14,28.6,26.8,4.1,295
2025-06-04,15,27.9,20.7,6.7,296.5
2025-06-04,16,27.7,22.7,5.4,303.3
2025-06-04,17,26.8,22.2,6.6,280.7
2025-06-04,18,25.7,21.9,5.4,284.4
2025-06-04,19,24.2,27.2,3.2,287.9
2025-06-04,20,20.1,38.4,1,21.7
2025-06-04,21,17.2,55,1.2,79.4
2025-06-04,22,15.8,61.7,0.6,334.4
2025-06-04,23,14,70.8,1.6,43.3
2025-06-05,0,13.2,75.4,2.9,84.2
2025-06-05,1,11.9,85.5,1.6,6.1
2025-06-05,2,11.7,83.1,3.1,94.2
2025-06-05,3,10.3,89.2,1.3,45.6
2025-06-05,4,9.4,92.8,2,48.2
2025-06-05,5,9.2,97.6,1,62.3
2025-06-05,6,9.2,97.7,0.3,32.3
2025-06-05,7,13,81.5,0.7,79.5
2025-06-05,8,17.4,60.5,0.7,287.8
2025-06-05,9,22,49.1,1.2,240.9
2025-06-05,10,24.8,37.8,1.9,258.9
2025-06-05,11,25.3,36.1,2.3,247.5
2025-06-05,12,26.1,34.3,2.4,216.8
2025-06-05,13,28.3,33.2,2.2,250
2025-06-05,14,28.6,32.3,3,237
2025-06-05,15,29.3,29.6,4,252.3
2025-06-05,16,29.7,31.7,3.8,260.1
2025-06-05,17,28.1,36.6,2.6,232.5
2025-06-05,18,26.6,43,2.6,224.1
2025-06-05,19,25.4,46.8,2.5,215.1
2025-06-05,20,22.3,59.6,1.1,289.5
2025-06-05,21,18.9,74.7,1.2,333
2025-06-05,22,16.8,83.9,1.3,31.4
2025-06-05,23,15.6,88.9,1.5,27.9
2025-06-06,0,14.1,94.4,1.3,29.5
2025-06-06,1,13.8,97.7,0.5,31.8
2025-06-06,2,14.1,96.1,0.7,37.8
2025-06-06,3,14,98.1,0.6,28.5
2025-06-06,4,13.6,99.3,1.4,38.3
2025-06-06,5,13.5,100,1.5,37
2025-06-06,6,13.9,98.7,0.2,326.2
2025-06-06,7,15.3,91.8,0,243
2025-06-06,8,17.8,80.4,0.7,297.4
2025-06-06,9,20.1,73.9,1,309.8
2025-06-06,10,22.5,65.2,1.5,264
2025-06-06,11,23.2,62.9,2.9,251.6
2025-06-06,12,25.4,53.3,2,247.5
2025-06-06,13,27.5,46.2,2.1,239.3
2025-06-06,14,27.9,44.9,1.9,235.2
2025-06-06,15,25.8,53.5,2.8,160.5
2025-06-06,16,23.9,55.4,1.6,211.2
2025-06-06,17,22.7,62.6,2,359.2
2025-06-06,18,22.7,57.3,2.1,146.2
2025-06-06,19,22.2,60.8,1.6,170.4
2025-06-06,20,19.2,77.5,0.3,1.4
2025-06-06,21,17.2,86.5,2,42.9
2025-06-06,22,15.5,93.4,1.1,28
2025-06-06,23,14.6,98.9,0.9,18
2025-06-07,0,13.7,100,1.9,38.9
2025-06-07,1,13.4,100,0.7,50.4
2025-06-07,2,12.9,100,0.7,26.4
2025-06-07,3,12.5,100,0.6,15.5
2025-06-07,4,12,100,0.6,13.4
2025-06-07,5,11.9,100,0.5,13.4
2025-06-07,6,12.4,100,0.7,47.6
2025-06-07,7,14.4,98.6,0.1,301.5
2025-06-07,8,17.7,89.4,1.3,285.5
2025-06-07,9,21.6,72.9,2.6,187.2
2025-06-07,10,23.2,63.4,1.9,242
2025-06-07,11,26.9,49.9,2.1,250.3
2025-06-07,12,29.2,44.1,1.7,85.9
2025-06-07,13,29.7,36.5,3.4,168.1
2025-06-07,14,29.3,37.8,4,206.2
2025-06-07,15,28.7,36.8,4.2,169.9
2025-06-07,16,28.3,39.1,4,173.6
2025-06-07,17,27.3,41.6,2.6,221.4
2025-06-07,18,26,46.9,1.7,218.3
2025-06-07,19,24.3,58.6,2.1,168
2025-06-07,20,23,66.7,1.4,173.1
2025-06-07,21,22,72.5,0.8,270
2025-06-07,22,20.5,81.7,0.3,307.8
2025-06-07,23,19.4,87.9,1.8,26.2
2025-06-08,0,19,91,1.2,16.5
2025-06-08,1,18.5,93.9,1.4,33.9
2025-06-08,2,18.1,97.3,1.2,27.6
2025-06-08,3,17.6,100,1.6,21.2
2025-06-08,4,17.7,100,0.5,20.9
2025-06-08,5,17.4,100,0.4,9.1
2025-06-08,6,17.6,100,0.2,38.7
2025-06-08,7,18.9,100,0.7,50.8
2025-06-08,8,21.2,89.9,1.6,141.5
2025-06-08,9,23.5,77.1,1,135.1
2025-06-08,10,24.7,70.4,1.6,112.9
2025-06-08,11,26.2,65.8,0.9,69.9
2025-06-08,12,26.5,63.2,2.3,231.2
2025-06-08,13,27.3,57.8,1.6,202.8
2025-06-08,14,28.1,52.6,3.4,190.7
2025-06-08,15,29.3,50.3,1.2,186.4
2025-06-08,16,29.2,50.6,2.7,199.5
2025-06-08,17,28.5,52.8,3.7,160.2
2025-06-08,18,28.1,53.9,2.9,153.1
2025-06-08,19,26.6,64.6,2.4,253.7
2025-06-08,20,24.4,77.2,2.7,202.2
2025-06-08,21,23.4,80.3,2,209.7
2025-06-08,22,22.4,83.3,0.8,172.2
2025-06-08,23,21,91.2,0.9,295.6
2025-06-09,0,19.7,98.3,0.4,40.2
2025-06-09,1,18.9,100,1,345.4
2025-06-09,2,18.6,100,1.5,313.6
2025-06-09,3,17.8,100,1.4,21.3
2025-06-09,4,17.7,100,1.4,34.9
2025-06-09,5,17.8,100,1,28.5
2025-06-09,6,17.8,100,1.6,42.1
2025-06-09,7,19,100,1,136.2
2025-06-09,8,20.2,98.5,1.1,106
2025-06-09,9,23.9,83.4,1.7,88
2025-06-09,10,25.6,72.6,2.9,87.4
2025-06-09,11,27.4,65.8,1.4,326.3
2025-06-09,12,28.2,63.9,1.5,202
2025-06-09,13,29.6,53.3,1.1,186.4
2025-06-09,14,29.9,57.1,2.9,241
2025-06-09,15,28.5,61.6,3,179.9
2025-06-09,16,28.8,60.6,2.3,185.6
2025-06-09,17,27.9,61.2,2.9,180.8
2025-06-09,18,27.8,62.6,2.8,165.3
2025-06-09,19,26.7,67.5,2,167.6
2025-06-09,20,23.2,83.4,1.1,31.3
2025-06-09,21,21.3,91.3,1.1,11.1
2025-06-09,22,20.4,97.3,1.2,32.9
2025-06-09,23,19.7,100,1.2,6.9
2025-06-10,0,19.1,99.8,1.4,327.2
2025-06-10,1,18.3,100,1.2,281.7
2025-06-10,2,17.4,100,0.8,28.2
2025-06-10,3,16.9,100,1.1,16.4
2025-06-10,4,16.4,100,1.3,45.1
2025-06-10,5,16.2,100,0.5,38.3
2025-06-10,6,16.4,100,1,31
2025-06-10,7,18.9,97,1.1,104.6
2025-06-10,8,22.1,80.6,0.4,245.8
2025-06-10,9,25.4,66.7,1.2,140.9
2025-06-10,10,28.1,59,1.3,262
2025-06-10,11,29.1,57.1,1.8,227.6
2025-06-10,12,29.4,55.5,3,215.4
2025-06-10,13,30.5,49.3,4.4,251.3
2025-06-10,14,30.6,53,3.3,237.4
2025-06-10,15,29.2,58.8,2.8,241.7
2025-06-10,16,29.2,61.9,2.7,189.7
2025-06-10,17,28,65.9,3.6,161.5
2025-06-10,18,28.1,65.5,1.3,236.1
2025-06-10,19,27.3,55.7,2,283
2025-06-10,20,25.8,60.9,0.5,354.3
2025-06-10,21,24,72.3,0.9,335.9
2025-06-10,22,24.8,58.7,2.7,326.9
2025-06-10,23,23.9,61.9,1.3,357.6
2025-06-11,0,23.1,65.7,1.9,312.9
2025-06-11,1,21.6,73.9,1.1,0.4
2025-06-11,2,19.5,84.4,1.3,60.7
2025-06-11,3,18.4,87.3,1.6,51
2025-06-11,4,17.2,90.9,1.5,61
2025-06-11,5,16.1,91.1,1.8,46.5
2025-06-11,6,15.8,91.1,2.1,48.4
2025-06-11,7,16.9,88.3,0.7,9.7
2025-06-11,8,19.4,80,0.9,66.2
2025-06-11,9,23.2,50.5,2,125
2025-06-11,10,25.1,45.5,2.4,156.7
2025-06-11,11,26.8,39.8,3.4,126.5
2025-06-11,12,28.3,39.1,3.3,127.8
2025-06-11,13,29.7,32,3.4,96
2025-06-11,14,30.6,27.8,1,231.4
2025-06-11,15,31.3,25.2,3,358.7
2025-06-11,16,31.2,28.2,3.5,11.8
2025-06-11,17,30.4,28.9,3.3,21.8
2025-06-11,18,29.8,30.8,2.9,33.5
2025-06-11,19,25.4,50.6,2.6,28.9
2025-06-11,20,22.8,66.3,1.2,308.7
2025-06-11,21,21.2,68.8,1.2,24.5
