day,h,t,rh,ws,wd
2025-06-01,0,13.6,79,2.1,207.5
2025-06-01,1,13.4,78.4,1.9,235
2025-06-01,2,13.3,79.7,1.3,251.2
2025-06-01,3,12,85.9,0.5,244.5
2025-06-01,4,11.8,88,0.6,244.3
2025-06-01,5,12.6,84.8,1.6,244.8
2025-06-01,6,13.4,84.7,1.5,241.9
2025-06-01,7,16.6,78.3,2.5,176.4
2025-06-01,8,17.3,78.7,1.7,89.5
2025-06-01,9,19.1,72.5,1.6,94.4
2025-06-01,10,19.1,73.2,3.4,65
2025-06-01,11,19,76.5,4.2,67.5
2025-06-01,12,19.3,76.6,3.9,70.7
2025-06-01,13,18.4,77.9,4.3,88.6
2025-06-01,14,18.4,82.4,4.7,88.2
2025-06-01,15,18.6,81.2,3.3,86.9
2025-06-01,16,18.6,78.6,2.8,76.1
2025-06-01,17,19,76.9,2.2,53.5
2025-06-01,18,18.2,79.6,2.5,57.4
2025-06-01,19,17.8,82.2,0.8,68.4
2025-06-01,20,17.3,85.5,0.7,95.1
2025-06-01,21,16.8,88.7,1.3,211.8
2025-06-01,22,16.4,90.5,0.5,313.4
2025-06-01,23,15.9,92,0.7,271.6
2025-06-02,0,15.6,93.2,1.8,62.6
2025-06-02,1,15.6,93.7,0.4,284.1
2025-06-02,2,15.6,94.8,0.3,182.6
2025-06-02,3,15.5,95.5,0.7,225.3
2025-06-02,4,14.9,96.1,0.7,185
2025-06-02,5,15.2,96.1,0.4,281.4
2025-06-02,6,15.5,95.9,0.1,297.5
2025-06-02,7,17.2,93.1,0.6,168.4
2025-06-02,8,18.9,83.9,1.6,51.7
2025-06-02,9,20.2,78.6,0.5,47.8
2025-06-02,10,19.5,81.8,1.2,76.1
2025-06-02,11,20.9,77.6,0.5,82
2025-06-02,12,19.7,79.2,1.9,52.4
2025-06-02,13,21.1,73.9,2.4,56
2025-06-02,14,23.1,69.3,0.5,289.7
2025-06-02,15,24.7,60.4,2.9,208.2
2025-06-02,16,24.2,53.5,3.3,251.6
2025-06-02,17,23.6,57.4,3,167.6
2025-06-02,18,22.6,63,2.1,232.7
2025-06-02,19,22.2,52.3,2.3,200.2
2025-06-02,20,21,53.8,1.8,158.4
2025-06-02,21,19.7,70.3,2,196.6
2025-06-02,22,19.2,77.7,1,107
2025-06-02,23,19.4,69,1.8,133.3
2025-06-03,0,17.6,87.5,1.2,285.8
2025-06-03,1,16.9,91.2,0.9,257.7
2025-06-03,2,16.8,92.4,1,271.6
2025-06-03,3,16.5,94,0.6,332
2025-06-03,4,16.5,93.8,0.9,296.1
2025-06-03,5,16.2,95.5,2,69.7
2025-06-03,6,16.2,96.7,1.8,54.8
2025-06-03,7,16.2,96.8,1.4,50
2025-06-03,8,16.6,95,2.2,43.7
2025-06-03,9,16.7,94.5,2.1,62.9
2025-06-03,10,16.6,93.3,2.3,91.3
2025-06-03,11,19.6,81.7,1.6,147.4
2025-06-03,12,20.9,76.3,3.3,63.7
2025-06-03,13,20.8,75.8,4.5,62.4
2025-06-03,14,20,74.3,3.9,63.5
2025-06-03,15,20.6,74.6,3.7,61.9
2025-06-03,16,21.2,72.1,2.7,53
2025-06-03,17,20.2,75.3,3.6,39.7
2025-06-03,18,21.3,72.8,2.1,40.4
2025-06-03,19,25,37.4,5.8,271.5
2025-06-03,20,23.8,40.1,5.3,271.9
2025-06-03,21,22.7,39.7,4.5,264.8
2025-06-03,22,22.2,28.7,3.7,276.8
2025-06-03,23,21.8,24.6,2.7,267.5
2025-06-04,0,21.1,27.1,2.6,253.4
2025-06-04,1,20.8,30,3.2,267.1
2025-06-04,2,19.5,35.8,4.1,232.2
2025-06-04,3,18.8,36.1,4,225
2025-06-04,4,18.5,36.4,4.2,230.4
2025-06-04,5,18.2,37.4,2.8,210.5
2025-06-04,6,17.6,41.4,3.6,167
2025-06-04,7,19.3,40.7,2.7,173.6
2025-06-04,8,20.6,37.5,3.9,170.8
2025-06-04,9,22.5,32.1,4.3,195.1
2025-06-04,10,24.1,29.6,5.9,195.8
2025-06-04,11,25.7,24.1,5.2,241.6
2025-06-04,12,25.9,23.7,6,248.7
2025-06-04,13,27.5,20.6,4.5,254.3
2025-06-04,14,27.6,19.5,6.7,272.5
2025-06-04,15,27.2,23.7,8,246.4
2025-06-04,16,27.6,22.9,5.8,245.1
2025-06-04,17,27,24.1,5.3,243.3
2025-06-04,18,26.4,24.3,4.7,259.7
2025-06-04,19,25.2,25.9,3.9,261.4
2025-06-04,20,23.6,32.4,3.1,241.2
2025-06-04,21,21.8,35.2,0.9,302.8
2025-06-04,22,20.9,36.4,1.2,282.9
2025-06-04,23,18.4,46.2,2.8,265.4
2025-06-05,0,20,40.5,3.6,252
2025-06-05,1,17.9,48.1,2.3,248.5
2025-06-05,2,16.1,60.9,1.3,194.5
2025-06-05,3,18.2,50.2,1.8,168.1
2025-06-05,4,18.4,49.4,2,353.6
2025-06-05,5,17.2,54.6,1.6,224.1
2025-06-05,6,16.4,60.9,2.1,240.7
2025-06-05,7,20,51.5,2.4,195
2025-06-05,8,21.4,45.2,2.3,237.2
2025-06-05,9,23.6,40.4,1.8,263.2
2025-06-05,10,24.6,33.2,3.7,313
2025-06-05,11,26.6,32.6,2,275.6
2025-06-05,12,27.3,32.8,3.4,269.7
2025-06-05,13,27.6,31.6,4.1,266
2025-06-05,14,28.7,30.4,2.8,233.3
2025-06-05,15,28.5,32,4.6,246.7
2025-06-05,16,28.9,28.4,3.1,271.3
2025-06-05,17,28.4,30.9,3.1,266.6
2025-06-05,18,27.6,33.7,2.8,263
2025-06-05,19,26,38.8,4.1,248.2
2025-06-05,20,24.7,41.8,3.1,248.9
2025-06-05,21,23.4,44.6,2.5,277.5
2025-06-05,22,21.7,51,1.5,195.8
2025-06-05,23,21.8,49.8,3,214.5
2025-06-06,0,20.6,54.4,2.8,231.9
2025-06-06,1,21.1,48.8,2.8,200.6
2025-06-06,2,21.6,46,3.9,210.9
2025-06-06,3,22.4,39,3.5,233.7
2025-06-06,4,19.4,53.7,2,219.5
2025-06-06,5,19.7,50.7,2.1,197.7
2025-06-06,6,19.7,52.5,1.8,113.1
2025-06-06,7,23.5,33.6,2.8,210.5
2025-06-06,8,25.5,32.1,3.8,219.7
2025-06-06,9,27,32.8,3.3,228
2025-06-06,10,28.6,27.6,4.2,248.6
2025-06-06,11,29.6,24.9,4.4,268.6
2025-06-06,12,29.3,24.4,3.6,269.4
2025-06-06,13,31,21.1,5.2,265.5
2025-06-06,14,31.2,22.8,3.3,296.9
2025-06-06,15,30.8,27.2,4.1,274.1
2025-06-06,16,30,30.4,3.5,246.3
2025-06-06,17,28.6,33.9,3.8,200.6
2025-06-06,18,27.9,35.6,4.2,206.8
2025-06-06,19,26.8,39,3.6,209.4
2025-06-06,20,24.5,45.4,2.3,180.4
2025-06-06,21,21.9,61.3,0.5,199.8
2025-06-06,22,21.9,54.1,2.3,198
2025-06-06,23,23.7,43.8,2.8,251.6
2025-06-07,0,24.4,39.5,4.7,236.2
2025-06-07,1,24,39.8,5,239.7
2025-06-07,2,24.1,39.5,5,250
2025-06-07,3,23.4,41,3.5,247.2
2025-06-07,4,21.6,50.6,3.7,155.6
2025-06-07,5,20.7,52.3,3.4,195.6
2025-06-07,6,20.5,54.1,3.2,201.8
2025-06-07,7,20.9,56.6,1.5,273.2
2025-06-07,8,23.9,46.9,3.5,212.5
2025-06-07,9,26.3,37.3,2.8,254.2
2025-06-07,10,28.1,38.3,3,226.6
2025-06-07,11,27.6,41.2,3.4,57.8
2025-06-07,12,26.5,43.5,3.6,44
2025-06-07,13,28.3,36.8,2.7,48.3
2025-06-07,14,29,38.9,3.8,61.2
2025-06-07,15,30.5,39.6,3.4,94.3
2025-06-07,16,30.4,37.9,3.3,143.2
2025-06-07,17,29.7,36.5,2.8,134.4
2025-06-07,18,28.4,47.2,2.3,34.8
2025-06-07,19,26.5,53,2.1,75.5
2025-06-07,20,24.8,65.3,1,208.5
2025-06-07,21,24.5,54.2,1.3,284.5
2025-06-07,22,25.9,43,3.1,231.9
2025-06-07,23,23.9,51.6,1.4,145
2025-06-08,0,23.6,50.1,2.3,216.1
2025-06-08,1,22.7,54.9,2.3,229.8
2025-06-08,2,21.7,60.3,1.3,266.1
2025-06-08,3,22.4,52.6,2.6,204.9
2025-06-08,4,21.2,60.4,2.1,225.8
2025-06-08,5,21.2,63.9,1.3,226.1
2025-06-08,6,21.5,67.3,0.4,256
2025-06-08,7,23.1,62.6,1.9,204.9
2025-06-08,8,24.3,62.4,1.6,264
2025-06-08,9,26.5,51.4,1.5,252.7
2025-06-08,10,27.7,49.8,1.8,138.1
2025-06-08,11,28.2,49.1,4.3,69.7
2025-06-08,12,27.1,49.8,4.3,72.4
2025-06-08,13,24,67.5,4.2,42.7
2025-06-08,14,25.8,55.6,3.7,60.3
2025-06-08,15,25.6,55.3,3.3,63.2
2025-06-08,16,25.2,60.9,2.9,57.1
2025-06-08,17,24.4,59.4,2.6,58.4
2025-06-08,18,23.9,62.9,2.7,75.4
2025-06-08,19,23.6,64.6,1.3,49.9
2025-06-08,20,22.2,72.1,1.2,84.1
2025-06-08,21,20.8,80.7,0.6,97.7
2025-06-08,22,19.9,78.7,1,262.7
2025-06-08,23,18.7,82.1,0.2,256
2025-06-09,0,18.7,84.3,0.8,273.1
2025-06-09,1,19.7,84.5,1.5,190.1
2025-06-09,2,19.3,80,1.6,251.2
2025-06-09,3,19.3,83.1,0.3,256
2025-06-09,4,18.9,85.4,0.2,312.4
2025-06-09,5,18.4,88.8,0.2,264.8
2025-06-09,6,18.9,88.4,0.9,208.7
2025-06-09,7,20.4,82.6,0.2,106.6
2025-06-09,8,21.9,75,1.6,59.1
2025-06-09,9,23.5,72.1,0.6,57.5
2025-06-09,10,25.8,65.6,1,42
2025-06-09,11,26.6,62.2,2.5,57.9
2025-06-09,12,27.6,59.1,2.4,75.3
2025-06-09,13,28.1,60.9,3.9,129
2025-06-09,14,27.7,59.7,4.4,129.1
2025-06-09,15,27.7,60,4.3,152.7
2025-06-09,16,28.6,55.6,3.9,159.6
2025-06-09,17,27.9,55.6,4.9,168.3
2025-06-09,18,28.2,51.6,4.1,197.3
2025-06-09,19,26.7,43.1,4.9,196.8
2025-06-09,20,25.2,53.1,2.6,224.6
2025-06-09,21,23.9,61.6,3,219.9
2025-06-09,22,22.9,67.9,3.2,226
2025-06-09,23,21.7,74.3,2.9,221.9
2025-06-10,0,21.2,76.9,4.3,213.4
2025-06-10,1,20.7,79.4,4.7,205.6
2025-06-10,2,20.4,80.2,3.2,214.6
2025-06-10,3,20.3,79,2.7,201
2025-06-10,4,19,88,1.9,227.2
2025-06-10,5,20.8,76.7,2.7,169.7
2025-06-10,6,22.1,70.3,2.9,195.4
2025-06-10,7,23.9,67,2.6,162.4
2025-06-10,8,26.2,55.4,1.8,166.7
2025-06-10,9,27.4,51.1,2.1,193.3
2025-06-10,10,27.8,54.3,4,143.1
2025-06-10,11,30.1,43.5,2.4,226.7
2025-06-10,12,30.3,46.1,2,78.2
2025-06-10,13,32.1,32.4,3.2,279.3
2025-06-10,14,31.5,32.2,5.8,242.8
2025-06-10,15,32.3,31.2,4.7,284.7
2025-06-10,16,31.9,34.5,3.8,267.5
2025-06-10,17,31.4,36.4,4.8,281.4
2025-06-10,18,31.2,38,3.5,298.9
2025-06-10,19,28.8,45.2,3.7,301.3
2025-06-10,20,27.6,43.3,3.1,278.4
2025-06-10,21,27.1,45,4.4,272.8
2025-06-10,22,26.2,47.7,2.4,265.4
2025-06-10,23,25.5,49.8,1.1,294.6
2025-06-11,0,24.5,55.6,1.5,220
2025-06-11,1,23.7,59.6,1.3,146.2
2025-06-11,2,23.1,56.7,2.6,254.4
2025-06-11,3,22.2,52.9,2.1,243
2025-06-11,4,22.4,42.3,3.3,244.2
2025-06-11,5,21.5,44.5,2.8,287.7
2025-06-11,6,22,44.6,4.2,305.1
2025-06-11,7,21.8,47.1,4.5,305.1
2025-06-11,8,22.4,47.6,3.6,288.4
2025-06-11,9,25.1,37,2.3,318.4
2025-06-11,10,27.1,31,2.6,12
2025-06-11,11,27,33.9,2.8,150
2025-06-11,12,27.4,31.5,3.8,85.1
2025-06-11,13,27.8,31.8,4.3,58.9
2025-06-11,14,27.7,32.1,3.3,109.2
2025-06-11,15,27.9,35.9,5.1,115.3
2025-06-11,16,27.8,36.2,4.7,140.3
2025-06-11,17,27.6,38.1,2.3,40
2025-06-11,18,27.1,37.8,2.6,47.7
2025-06-11,19,24.2,50.1,1.7,325.1
2025-06-11,20,22.1,58.8,2.9,41.9
2025-06-11,21,20.4,69.7,4.1,66.7
2025-06-11,22,20.9,61.6,1.9,44.8
2025-06-11,23,20.3,65.6,2.2,59.2
2025-06-12,0,19.4,73.2,1.5,58.3
2025-06-12,1,17.1,80.5,1.1,249.5
2025-06-12,2,16.6,79.1,0.6,276.1
2025-06-12,3,16.5,81.5,1.1,203.7
2025-06-12,4,16.8,81.9,1,246.8
2025-06-12,5,16.9,83.2,1.1,244.8
2025-06-12,6,17.3,81.5,1.2,250.2
2025-06-12,7,19.4,68.9,0.7,213.2
2025-06-12,8,21.7,62.3,0.2,151.3
2025-06-12,9,22.6,61.2,2.5,44.8
2025-06-12,10,23.6,51.5,3,70.2
