day,h,t,rh,ws,wd,vis
2021-03-01,0,6.5,63.0,2.6,360.0,12.3
2021-03-01,1,7.1,52.0,1.5,50.0,11.5
2021-03-01,2,7.1,58.0,2.9,20.0,10.2
2021-03-01,3,7.0,59.0,2.6,20.0,16.9
2021-03-01,4,5.5,81.0,4.4,20.0,8.6
2021-03-01,5,5.7,78.0,4.7,70.0,13.4
2021-03-01,6,5.3,87.0,5.8,70.0,9.8
2021-03-01,7,5.0,92.0,4.5,20.0,4.7
2021-03-01,8,4.8,94.0,5.3,50.0,4.4
2021-03-01,9,4.8,95.0,4.8,50.0,4.3
2021-03-01,10,5.1,96.0,4.7,50.0,3.2
2021-03-01,11,5.9,96.0,5.7,90.0,5.1
2021-03-01,12,6.6,96.0,3.9,70.0,4.4
2021-03-01,13,7.3,95.0,5.3,70.0,6.6
2021-03-01,14,6.5,95.0,4.4,50.0,5.8
2021-03-01,15,4.9,95.0,7.4,20.0,5.7
2021-03-01,16,3.4,93.0,8.2,20.0,6.0
2021-03-01,17,2.9,93.0,6.0,50.0,7.7
2021-03-01,18,2.4,93.0,5.9,50.0,11.0
2021-03-01,19,1.8,92.0,5.5,50.0,16.1
2021-03-01,20,1.0,93.0,4.7,50.0,7.6
2021-03-01,21,0.7,94.0,4.8,50.0,8.1
2021-03-01,22,0.5,94.0,5.2,20.0,3.8
2021-03-01,23,0.2,94.0,5.2,20.0,12.5
2021-03-02,0,-0.2,93.0,7.3,20.0,7.2
2021-03-02,1,-0.3,92.0,5.0,20.0,20.0
2021-03-02,2,-0.4,88.0,5.2,20.0,20.0
2021-03-02,3,-0.5,85.0,4.4,50.0,20.0
2021-03-02,4,-0.5,82.0,3.9,20.0,20.0
2021-03-02,5,-0.4,77.0,4.1,20.0,20.0
2021-03-02,6,-0.4,73.0,4.4,20.0,20.0
2021-03-02,7,-0.4,71.0,4.9,20.0,20.0
2021-03-02,8,-0.4,69.0,4.2,20.0,20.0
2021-03-02,9,0.7,64.0,3.6,20.0,20.0
2021-03-02,10,1.7,60.0,3.7,20.0,20.0
2021-03-02,11,2.7,61.0,3.4,20.0,20.0
2021-03-02,12,3.4,54.0,4.4,340.0,20.0
2021-03-02,13,4.4,49.0,3.4,20.0,20.0
2021-03-02,14,4.8,49.0,5.0,340.0,20.0
2021-03-02,15,5.2,46.0,5.2,340.0,20.0
2021-03-02,16,5.5,47.0,4.0,340.0,20.0
2021-03-02,17,4.9,56.0,4.5,360.0,20.0
2021-03-02,18,3.8,66.0,4.4,290.0,20.0
2021-03-02,19,2.7,73.0,2.2,290.0,20.0
2021-03-02,20,2.1,74.0,1.9,270.0,20.0
2021-03-02,21,1.7,76.0,2.2,250.0,20.0
2021-03-02,22,1.7,79.0,2.4,250.0,20.0
2021-03-02,23,1.5,83.0,1.4,200.0,20.0
2021-03-03,0,1.5,81.0,1.6,230.0,19.9
2021-03-03,1,1.5,83.0,1.8,230.0,16.0
2021-03-03,2,1.2,83.0,2.1,230.0,15.2
2021-03-03,3,0.9,83.0,1.5,160.0,12.1
2021-03-03,4,0.6,86.0,2.7,140.0,8.2
2021-03-03,5,0.4,87.0,2.1,160.0,6.1
2021-03-03,6,0.4,86.0,2.6,200.0,6.9
2021-03-03,7,0.4,86.0,2.4,200.0,6.1
2021-03-03,8,1.0,84.0,2.2,160.0,4.9
2021-03-03,9,2.6,75.0,2.7,180.0,4.8
2021-03-03,10,4.4,63.0,2.9,160.0,7.8
2021-03-03,11,5.9,51.0,3.1,200.0,9.4
2021-03-03,12,6.7,48.0,2.9,230.0,15.3
2021-03-03,13,6.3,55.0,3.8,230.0,10.1
2021-03-03,14,6.9,53.0,3.0,250.0,10.6
2021-03-03,15,6.8,49.0,3.5,250.0,12.6
2021-03-03,16,7.6,36.0,2.6,270.0,20.0
2021-03-03,17,7.4,37.0,1.6,250.0,20.0
2021-03-03,18,6.1,46.0,2.1,250.0,17.2
2021-03-03,19,4.3,61.0,1.8,230.0,13.6
2021-03-03,20,3.6,70.0,1.4,230.0,10.2
2021-03-03,21,3.2,67.0,0.9,200.0,10.3
2021-03-03,22,3.0,67.0,1.5,180.0,9.8
2021-03-03,23,3.1,68.0,1.4,140.0,8.5
2021-03-04,0,3.5,63.0,2.0,160.0,8.7
2021-03-04,1,3.5,67.0,2.1,160.0,6.3
2021-03-04,2,3.6,62.0,2.1,140.0,8.3
2021-03-04,3,3.9,59.0,1.9,140.0,10.3
2021-03-04,4,4.1,60.0,1.6,160.0,10.9
2021-03-04,5,4.4,60.0,1.1,140.0,11.2
2021-03-04,6,4.3,62.0,2.0,140.0,10.1
2021-03-04,7,4.4,60.0,1.1,160.0,11.9
