day,h,t,rh,ws,wd,vis
2021-03-01,0,4.6,75.2,0.0,0.0,10.0
2021-03-01,3,3.9,81.9,0.0,0.0,10.0
2021-03-01,6,2.7,89.2,1.0,50.0,4.0
2021-03-01,9,3.6,95.2,3.0,20.0,4.0
2021-03-01,12,3.4,89.9,2.0,360.0,4.0
2021-03-01,15,3.1,87.9,3.0,360.0,4.0
2021-03-01,18,3.2,89.9,2.0,20.0,4.0
2021-03-01,21,2.2,92.4,4.0,360.0,4.0
2021-03-02,0,1.6,90.4,2.0,360.0,10.0
2021-03-02,3,0.4,87.7,3.0,320.0,15.0
2021-03-02,6,0.0,83.2,2.0,320.0,15.0
2021-03-02,9,0.0,82.0,0.0,0.0,20.0
2021-03-02,12,3.4,79.5,3.0,320.0,20.0
2021-03-02,15,5.3,67.6,2.0,320.0,20.0
2021-03-02,18,4.0,63.9,2.0,320.0,20.0
2021-03-02,21,-0.5,66.3,0.0,0.0,10.0
2021-03-03,0,-2.8,76.2,1.0,50.0,10.0
2021-03-03,3,-4.4,81.4,1.0,90.0,10.0
2021-03-03,6,-5.0,87.8,0.0,0.0,10.0
2021-03-03,9,-1.2,82.5,2.0,90.0,20.0
2021-03-03,12,7.0,65.1,4.0,180.0,20.0
2021-03-03,15,7.6,62.5,5.0,140.0,20.0
2021-03-03,18,5.6,70.2,3.0,140.0,20.0
2021-03-03,21,2.3,77.6,4.0,140.0,20.0
2021-03-04,0,0.2,83.9,4.0,90.0,10.0
2021-03-04,3,0.2,83.9,4.0,90.0,10.0
2021-03-04,6,2.1,86.0,3.0,90.0,10.0
2021-03-04,9,3.4,83.7,2.0,140.0,10.0
2021-03-04,12,8.4,67.3,3.0,180.0,10.0
2021-03-04,15,9.2,56.9,3.0,180.0,20.0
2021-03-04,18,9.0,61.9,2.0,250.0,20.0
2021-03-04,21,6.2,79.9,0.0,0.0,10.0
2021-03-05,0,5.2,82.7,0.0,0.0,10.0
2021-03-05,3,2.6,84.2,0.0,0.0,10.0
2021-03-05,6,0.7,93.7,1.0,90.0,10.0
2021-03-05,9,0.3,96.4,0.0,0.0,0.2
2021-03-05,12,8.0,86.0,2.0,230.0,10.0
2021-03-05,15,13.0,74.6,2.0,230.0,10.0
2021-03-05,18,7.2,79.5,2.0,320.0,10.0
2021-03-05,21,4.4,80.2,2.0,320.0,10.0
2021-03-06,0,3.5,91.8,2.0,320.0,10.0
2021-03-06,3,1.6,91.7,1.0,360.0,10.0
2021-03-06,6,-0.2,96.4,2.0,320.0,10.0
2021-03-06,9,0.0,83.2,2.0,320.0,10.0
2021-03-06,12,5.0,70.0,0.0,0.0,20.0
2021-03-06,15,6.6,60.5,1.0,320.0,20.0
2021-03-06,18,6.0,69.7,1.0,320.0,10.0
2021-03-06,21,1.4,79.8,1.0,230.0,10.0
2021-03-07,0,0.1,79.6,0.0,0.0,10.0
2021-03-07,3,0.5,82.1,0.0,0.0,10.0
2021-03-07,6,-0.2,88.3,1.0,50.0,10.0
2021-03-07,9,1.0,80.9,0.0,0.0,10.0
2021-03-07,12,7.2,61.0,1.0,270.0,20.0
2021-03-07,15,8.5,46.9,4.0,230.0,20.0
2021-03-07,18,5.9,57.3,1.0,270.0,20.0
2021-03-07,21,1.1,76.9,2.0,270.0,15.0
2021-03-08,0,-0.6,88.9,2.0,270.0,15.0
2021-03-08,3,-2.2,90.1,0.0,0.0,10.0
2021-03-08,6,-3.2,89.3,2.0,90.0,10.0
2021-03-08,9,0.6,89.0,0.0,0.0,10.0
2021-03-08,12,7.8,80.2,2.0,50.0,10.0
2021-03-08,15,10.0,61.7,3.0,230.0,10.0
2021-03-08,18,6.3,70.3,4.0,230.0,10.0
2021-03-08,21,1.8,77.6,0.0,0.0,10.0
2021-03-09,0,-1.0,82.5,0.0,0.0,10.0
2021-03-09,3,-1.6,79.4,0.0,0.0,10.0
2021-03-09,6,-2.4,84.2,0.0,0.0,10.0
2021-03-09,9,0.0,80.2,0.0,0.0,10.0
2021-03-09,12,8.6,69.8,0.0,0.0,10.0
2021-03-09,15,11.0,63.3,3.0,230.0,10.0
2021-03-09,18,8.4,68.3,2.0,270.0,10.0
2021-03-09,21,4.2,75.2,0.0,0.0,15.0
2021-03-10,0,1.3,80.4,0.0,0.0,10.0
2021-03-10,3,-0.8,95.7,1.0,50.0,10.0
2021-03-10,6,-1.2,95.0,1.0,50.0,10.0
2021-03-10,9,0.2,95.0,0.0,0.0,1.5
2021-03-10,12,10.8,79.0,1.0,90.0,4.0
2021-03-10,15,12.9,59.9,4.0,270.0,5.0
2021-03-10,18,10.2,61.8,3.0,270.0,5.0
2021-03-10,21,5.4,69.1,0.0,0.0,10.0
