day,h,t,rh,ws,wd,vis
2021-03-01,0,5.9,68.2,0.0,0.0,20.0
2021-03-01,3,5.1,80.9,0.0,0.0,20.0
2021-03-01,6,4.6,93.2,0.0,0.0,20.0
2021-03-01,9,5.5,96.6,5.0,50.0,20.0
2021-03-01,12,4.9,98.6,4.0,50.0,20.0
2021-03-01,15,3.6,93.2,7.0,50.0,20.0
2021-03-01,18,0.2,92.3,9.0,50.0,3.0
2021-03-01,21,-0.5,93.6,5.0,50.0,3.5
2021-03-02,0,-0.5,85.7,5.0,50.0,20.0
2021-03-02,3,-0.2,79.6,0.0,0.0,20.0
2021-03-02,6,-0.3,75.5,0.0,0.0,25.0
2021-03-02,9,1.2,81.0,0.0,0.0,25.0
2021-03-02,12,2.7,73.8,0.0,0.0,25.0
2021-03-02,15,3.8,71.9,3.0,50.0,30.0
2021-03-02,18,4.6,57.3,0.0,0.0,30.0
2021-03-02,21,2.1,76.5,0.0,0.0,30.0
2021-03-03,0,-0.6,81.3,0.0,0.0,30.0
2021-03-03,3,-1.8,83.6,0.0,0.0,30.0
2021-03-03,6,-2.8,89.4,0.0,0.0,30.0
2021-03-03,9,-1.0,90.9,0.0,0.0,30.0
2021-03-03,12,5.4,79.8,0.0,0.0,20.0
2021-03-03,15,8.0,54.1,2.0,230.0,20.0
2021-03-03,18,6.7,51.1,2.0,270.0,20.0
2021-03-03,21,2.8,65.6,0.0,0.0,20.0
2021-03-04,0,-0.1,79.6,0.0,0.0,20.0
2021-03-04,3,-0.8,83.1,0.0,0.0,20.0
2021-03-04,6,0.4,82.1,0.0,0.0,20.0
2021-03-04,9,1.8,79.9,0.0,0.0,20.0
2021-03-04,12,7.8,69.1,0.0,0.0,20.0
2021-03-04,15,10.8,59.4,1.0,140.0,20.0
2021-03-04,18,11.4,61.6,1.0,270.0,20.0
2021-03-04,21,7.4,72.1,0.0,0.0,20.0
2021-03-05,0,4.2,85.0,0.0,0.0,20.0
2021-03-05,3,2.3,76.5,0.0,0.0,20.0
2021-03-05,6,0.6,90.3,0.0,0.0,20.0
2021-03-05,9,4.0,89.9,0.0,0.0,20.0
2021-03-05,12,11.8,73.9,0.0,0.0,20.0
2021-03-05,15,14.4,53.2,5.0,270.0,25.0
2021-03-05,18,11.5,60.4,0.0,0.0,30.0
2021-03-05,21,7.8,81.3,1.0,270.0,30.0
2021-03-06,0,7.2,80.1,2.0,360.0,30.0
2021-03-06,3,4.4,83.8,0.0,0.0,20.0
2021-03-06,6,3.9,84.9,0.0,0.0,20.0
2021-03-06,9,5.4,81.5,5.0,50.0,20.0
2021-03-06,12,6.4,71.9,6.0,50.0,25.0
2021-03-06,15,6.6,62.2,6.0,50.0,30.0
2021-03-06,18,4.4,63.1,0.0,0.0,30.0
2021-03-06,21,1.9,66.4,4.0,50.0,30.0
2021-03-07,0,1.2,68.2,3.0,50.0,30.0
2021-03-07,3,0.5,68.6,2.0,90.0,30.0
2021-03-07,6,0.5,70.2,1.0,90.0,30.0
2021-03-07,9,1.8,76.4,2.0,90.0,30.0
2021-03-07,12,7.5,61.6,1.0,270.0,30.0
2021-03-07,15,10.9,46.2,2.0,320.0,30.0
2021-03-07,18,8.8,53.2,3.0,320.0,30.0
2021-03-07,21,4.1,76.8,1.0,180.0,30.0
2021-03-08,0,2.1,85.3,1.0,140.0,30.0
2021-03-08,3,0.1,89.6,0.0,0.0,30.0
2021-03-08,6,-1.2,91.5,0.0,0.0,30.0
2021-03-08,9,2.8,89.2,0.0,0.0,30.0
2021-03-08,12,8.8,60.1,0.0,0.0,30.0
2021-03-08,15,10.6,34.5,4.0,320.0,30.0
2021-03-08,18,9.2,49.9,3.0,270.0,30.0
2021-03-08,21,4.6,63.1,2.0,270.0,20.0
2021-03-09,0,1.7,79.9,0.0,0.0,20.0
2021-03-09,3,-0.1,85.7,0.0,0.0,20.0
2021-03-09,6,-1.5,89.5,0.0,0.0,20.0
2021-03-09,9,0.8,90.3,1.0,140.0,20.0
2021-03-09,12,9.6,57.0,0.0,0.0,20.0
2021-03-09,15,11.9,43.9,5.0,230.0,20.0
2021-03-09,18,7.6,54.8,6.0,230.0,20.0
2021-03-09,21,4.4,81.4,0.0,0.0,20.0
2021-03-10,0,2.4,89.2,0.0,0.0,10.0
2021-03-10,3,0.9,92.3,0.0,0.0,10.0
2021-03-10,6,-0.8,93.6,0.0,0.0,10.0
2021-03-10,9,2.2,94.4,0.0,0.0,10.0
2021-03-10,12,9.9,75.6,0.0,0.0,20.0
2021-03-10,15,14.3,39.2,0.0,0.0,20.0
2021-03-10,18,12.7,45.1,0.0,0.0,20.0
2021-03-10,21,6.9,64.1,0.0,0.0,20.0
2021-03-11,0,3.6,83.1,0.0,0.0,20.0
2021-03-11,3,2.5,84.2,0.0,0.0,10.0
2021-03-11,6,0.3,83.9,0.0,0.0,5.0
2021-03-11,9,3.5,93.2,0.0,0.0,3.7
2021-03-11,12,11.3,58.2,0.0,0.0,3.7
2021-03-11,15,16.0,42.9,3.0,270.0,10.0
2021-03-11,18,11.3,47.0,4.0,230.0,10.0
2021-03-11,21,7.7,66.7,1.0,230.0,10.0
2021-03-12,0,7.3,75.2,1.0,50.0,10.0
2021-03-12,3,6.9,79.5,0.0,0.0,10.0
2021-03-12,6,6.6,80.6,1.0,90.0,10.0
2021-03-12,9,7.5,84.1,0.0,0.0,10.0
2021-03-12,12,13.8,54.5,3.0,50.0,10.0
