day,h,t,rh,ws,wd,vis
2021-03-12,21,12.0,51.4,4.0,90.0,10.0
2021-03-13,0,9.9,53.5,2.0,140.0,10.0
2021-03-13,3,7.9,63.9,0.0,0.0,10.0
2021-03-13,6,7.3,68.5,1.0,180.0,10.0
2021-03-13,9,7.5,54.0,0.0,0.0,4.5
2021-03-13,12,10.8,66.4,0.0,0.0,4.5
2021-03-13,15,12.3,62.7,3.0,230.0,10.0
2021-03-13,18,9.9,79.4,3.0,360.0,10.0
2021-03-13,21,7.5,84.1,1.0,360.0,10.0
2021-03-14,0,6.1,88.2,1.0,90.0,10.0
2021-03-14,3,4.3,90.6,2.0,320.0,10.0
2021-03-14,6,3.9,93.2,1.0,360.0,4.5
2021-03-14,9,6.2,89.5,0.0,0.0,3.5
2021-03-14,12,10.8,72.7,1.0,230.0,3.5
2021-03-14,15,12.1,65.8,3.0,140.0,3.5
2021-03-14,18,8.8,79.2,3.0,90.0,3.5
2021-03-14,21,7.7,83.0,0.0,0.0,4.5
2021-03-15,0,5.8,93.3,0.0,0.0,4.5
2021-03-15,3,4.4,93.2,0.0,0.0,0.1
2021-03-15,6,3.7,96.5,0.0,0.0,0.1
2021-03-15,9,4.7,97.2,2.0,140.0,0.8
2021-03-15,12,7.9,90.2,3.0,140.0,3.5
2021-03-15,15,9.7,75.6,1.0,140.0,4.5
2021-03-15,18,9.0,76.0,1.0,90.0,3.5
2021-03-15,21,8.9,74.4,1.0,320.0,4.5
2021-03-16,0,8.3,93.4,1.0,320.0,4.5
2021-03-16,3,7.9,35.6,3.0,50.0,10.0
2021-03-16,6,5.6,37.4,5.0,360.0,10.0
2021-03-16,9,5.6,37.4,5.0,360.0,5.0
2021-03-16,12,8.1,33.3,4.0,360.0,5.0
2021-03-16,15,10.9,31.4,3.0,360.0,15.0
2021-03-16,18,7.5,34.6,4.0,360.0,12.0
2021-03-16,21,5.3,33.7,2.0,180.0,10.0
2021-03-17,0,4.2,36.4,2.0,90.0,10.0
2021-03-17,3,4.3,36.1,1.0,140.0,10.0
2021-03-17,6,2.9,45.2,1.0,50.0,10.0
2021-03-17,9,6.1,50.9,0.0,0.0,12.0
2021-03-17,12,9.8,35.6,0.0,0.0,15.0
2021-03-17,15,12.3,37.7,3.0,140.0,15.0
2021-03-17,18,11.9,42.3,1.0,180.0,12.0
2021-03-17,21,8.3,51.1,1.0,180.0,10.0
2021-03-18,0,6.6,61.8,1.0,140.0,10.0
2021-03-18,3,5.2,71.1,1.0,50.0,10.0
2021-03-18,6,4.5,56.9,0.0,0.0,10.0
2021-03-18,9,7.9,50.6,0.0,0.0,10.0
2021-03-18,12,11.7,46.4,1.0,180.0,12.0
2021-03-18,15,14.4,43.3,1.0,230.0,12.0
2021-03-18,18,12.5,61.9,0.0,0.0,10.0
2021-03-18,21,11.1,50.1,0.0,0.0,10.0
2021-03-19,0,11.0,52.6,0.0,0.0,10.0
2021-03-19,3,9.3,59.8,1.0,360.0,10.0
2021-03-19,6,7.9,66.7,0.0,0.0,10.0
2021-03-19,9,11.1,67.9,2.0,140.0,10.0
2021-03-19,12,13.6,59.2,4.0,180.0,10.0
2021-03-19,15,14.7,53.6,3.0,180.0,12.0
2021-03-19,18,13.8,51.2,1.0,180.0,12.0
2021-03-19,21,12.3,51.1,0.0,0.0,10.0
2021-03-20,0,10.9,66.9,1.0,140.0,10.0
2021-03-20,3,9.8,75.1,2.0,140.0,10.0
2021-03-20,6,9.3,76.0,0.0,0.0,6.0
2021-03-20,9,8.1,75.8,0.0,0.0,4.6
2021-03-20,12,7.5,89.0,2.0,270.0,4.5
2021-03-20,15,10.4,73.6,3.0,270.0,12.0
2021-03-20,18,6.5,87.0,4.0,320.0,12.0
2021-03-20,21,5.1,87.5,3.0,320.0,3.5
2021-03-21,0,4.4,83.8,2.0,320.0,3.5
2021-03-21,3,4.7,84.4,3.0,360.0,4.5
2021-03-21,6,3.7,90.6,1.0,320.0,4.5
2021-03-21,9,4.6,88.7,4.0,320.0,3.5
2021-03-21,12,7.0,48.9,5.0,320.0,15.0
2021-03-21,15,7.3,46.9,10.0,320.0,15.0
2021-03-21,18,4.9,53.3,7.0,360.0,12.0
2021-03-21,21,3.5,54.9,5.0,360.0,10.0
2021-03-22,0,2.2,64.5,3.0,320.0,10.0
2021-03-22,3,2.2,65.4,1.0,320.0,10.0
2021-03-22,6,1.1,69.8,2.0,320.0,10.0
2021-03-22,9,5.1,66.1,2.0,320.0,15.0
2021-03-22,12,9.9,43.6,2.0,230.0,15.0
2021-03-22,15,11.9,36.0,4.0,320.0,15.0
2021-03-22,18,10.3,36.8,3.0,320.0,15.0
2021-03-22,21,6.3,47.3,2.0,320.0,10.0
