day,h,t,rh,ws,wd,vis
2021-03-01,0,6.2,66.3,0.0,0.0,10.0
2021-03-01,3,4.2,97.2,0.0,0.0,10.0
2021-03-01,6,4.0,97.2,0.0,0.0,10.0
2021-03-01,9,3.8,93.8,0.0,0.0,5.0
2021-03-01,12,4.4,93.2,0.0,0.0,10.0
2021-03-01,15,3.7,95.2,0.0,0.0,10.0
2021-03-01,18,2.4,96.5,0.0,0.0,10.0
2021-03-01,21,1.5,93.7,0.0,0.0,10.0
2021-03-02,0,0.8,93.0,0.0,0.0,10.0
2021-03-02,3,0.5,89.7,0.0,0.0,10.0
2021-03-02,6,0.0,90.3,0.0,0.0,10.0
2021-03-02,9,0.6,84.5,0.0,0.0,10.0
2021-03-02,12,3.0,79.5,0.0,0.0,10.0
2021-03-02,15,5.0,65.1,0.0,0.0,10.0
2021-03-02,18,3.4,62.9,3.0,320.0,20.0
2021-03-02,21,0.2,77.3,0.0,0.0,20.0
2021-03-03,0,-1.6,90.2,0.0,0.0,20.0
2021-03-03,3,-1.8,76.4,0.0,0.0,20.0
2021-03-03,6,-2.6,75.1,0.0,0.0,20.0
2021-03-03,9,-0.8,76.5,0.0,0.0,20.0
2021-03-03,12,5.8,50.1,0.0,0.0,20.0
2021-03-03,15,8.8,43.3,0.0,0.0,20.0
2021-03-03,18,6.9,44.3,0.0,0.0,20.0
2021-03-03,21,3.4,56.6,0.0,0.0,20.0
2021-03-04,0,1.2,61.4,0.0,0.0,20.0
2021-03-04,3,1.1,63.7,2.0,140.0,20.0
2021-03-04,6,1.8,67.3,3.0,140.0,20.0
2021-03-04,9,3.9,68.3,2.0,140.0,20.0
2021-03-04,12,7.2,65.1,2.0,140.0,20.0
2021-03-04,15,9.8,61.2,0.0,0.0,20.0
2021-03-04,18,9.4,66.1,0.0,0.0,20.0
2021-03-04,21,6.5,77.7,0.0,0.0,10.0
2021-03-05,0,3.2,89.9,0.0,0.0,10.0
2021-03-05,3,2.0,90.4,0.0,0.0,10.0
2021-03-05,6,0.3,91.0,0.0,0.0,10.0
2021-03-05,9,3.6,76.2,0.0,0.0,20.0
2021-03-05,12,9.4,68.5,2.0,320.0,20.0
2021-03-05,15,12.8,59.0,3.0,320.0,20.0
2021-03-05,18,8.2,82.5,6.0,320.0,20.0
2021-03-05,21,6.0,90.7,3.0,320.0,10.0
2021-03-06,0,4.2,89.9,3.0,320.0,10.0
2021-03-06,3,1.2,76.3,2.0,320.0,10.0
2021-03-06,6,-0.6,78.9,1.0,320.0,10.0
2021-03-06,9,0.0,70.6,1.0,320.0,15.0
2021-03-06,12,4.5,59.5,3.0,320.0,20.0
2021-03-06,15,8.8,60.1,3.0,270.0,10.0
2021-03-06,18,8.0,65.3,1.0,270.0,10.0
2021-03-06,21,3.3,67.2,5.0,180.0,10.0
2021-03-07,0,1.0,70.3,3.0,180.0,10.0
2021-03-07,3,-0.4,72.7,3.0,140.0,20.0
2021-03-07,6,-0.4,72.7,3.0,140.0,20.0
2021-03-07,9,0.4,73.4,0.0,0.0,20.0
2021-03-07,12,6.0,59.0,0.0,0.0,10.0
2021-03-07,15,7.8,58.6,0.0,0.0,10.0
2021-03-07,18,6.8,66.0,4.0,320.0,10.0
2021-03-07,21,2.8,77.7,0.0,0.0,10.0
2021-03-08,0,0.2,91.6,1.0,320.0,10.0
2021-03-08,3,-1.0,88.2,0.0,0.0,10.0
2021-03-08,6,-2.2,88.8,0.0,0.0,10.0
2021-03-08,9,-1.7,86.8,0.0,0.0,0.2
2021-03-08,12,3.8,69.8,0.0,0.0,10.0
2021-03-08,15,9.0,48.1,0.0,0.0,10.0
2021-03-08,18,9.2,40.3,5.0,320.0,20.0
2021-03-08,21,3.8,70.8,1.0,320.0,20.0
