day,h,t,rh,ws,wd,vis
2021-03-01,0,5.2,79.2,1.0,50.0,11.0
2021-03-01,3,3.5,88.0,1.0,360.0,8.0
2021-03-01,6,3.0,91.2,2.0,50.0,6.0
2021-03-01,9,3.1,97.2,2.0,50.0,4.5
2021-03-01,12,3.2,96.5,6.0,50.0,5.0
2021-03-01,15,3.4,95.2,7.0,50.0,5.0
2021-03-01,18,2.1,94.4,2.0,50.0,8.0
2021-03-01,21,1.1,91.0,6.0,50.0,8.0
2021-03-02,0,0.7,85.8,1.0,360.0,12.0
2021-03-02,3,0.4,87.7,2.0,360.0,12.0
2021-03-02,6,-0.1,83.8,3.0,360.0,15.0
2021-03-02,9,1.1,83.4,1.0,320.0,15.0
2021-03-02,12,2.5,77.7,1.0,270.0,17.0
2021-03-02,15,3.1,78.9,2.0,270.0,18.0
2021-03-02,18,2.6,72.2,3.0,270.0,17.0
2021-03-02,21,-0.1,77.2,1.0,270.0,15.0
2021-03-03,0,-0.6,83.8,2.0,90.0,15.0
2021-03-03,3,-1.8,84.3,1.0,50.0,15.0
2021-03-03,6,-2.0,75.8,2.0,90.0,15.0
2021-03-03,9,-0.3,82.0,1.0,90.0,14.0
2021-03-03,12,4.9,76.4,3.0,90.0,18.0
2021-03-03,15,9.3,70.9,1.0,50.0,18.0
2021-03-03,18,7.7,68.6,1.0,50.0,17.0
2021-03-03,21,3.6,78.4,1.0,90.0,16.0
2021-03-04,0,1.7,73.6,2.0,50.0,15.0
2021-03-04,3,1.0,82.1,1.0,90.0,15.0
2021-03-04,6,0.3,81.4,1.0,50.0,15.0
2021-03-04,9,1.4,84.0,3.0,90.0,15.0
2021-03-04,12,6.6,81.1,2.0,140.0,12.0
2021-03-04,15,9.3,78.7,1.0,50.0,12.0
2021-03-04,18,8.9,79.8,1.0,50.0,14.0
2021-03-04,21,6.8,78.9,2.0,140.0,13.0
2021-03-05,0,5.0,88.1,1.0,90.0,12.0
2021-03-05,3,3.7,88.0,3.0,90.0,12.0
2021-03-05,6,1.8,91.7,2.0,90.0,11.0
2021-03-05,9,3.3,89.2,1.0,50.0,8.0
2021-03-05,12,8.0,83.0,1.0,230.0,8.0
2021-03-05,15,10.8,83.4,7.0,270.0,13.0
2021-03-05,18,5.8,91.3,3.0,270.0,11.0
2021-03-05,21,4.3,90.6,3.0,270.0,9.0
2021-03-06,0,3.6,84.9,1.0,320.0,13.0
2021-03-06,3,0.6,83.3,2.0,360.0,13.0
2021-03-06,6,-0.9,80.7,2.0,320.0,13.0
2021-03-06,9,0.3,78.5,1.0,340.0,16.0
2021-03-06,12,4.4,72.0,1.0,320.0,16.0
2021-03-06,15,6.4,77.2,2.0,230.0,15.0
2021-03-06,18,5.2,75.9,2.0,270.0,15.0
2021-03-06,21,2.5,80.6,1.0,50.0,14.0
2021-03-07,0,0.9,84.6,1.0,50.0,14.0
2021-03-07,3,-0.4,85.7,2.0,50.0,14.0
2021-03-07,6,-1.3,79.4,2.0,50.0,14.0
2021-03-07,9,-0.2,83.2,1.0,50.0,14.0
2021-03-07,12,5.1,77.5,1.0,180.0,15.0
2021-03-07,15,6.9,76.2,3.0,320.0,17.0
2021-03-07,18,5.2,79.2,3.0,320.0,15.0
2021-03-07,21,1.0,86.5,3.0,270.0,13.0
2021-03-08,0,0.0,91.6,1.0,320.0,13.0
2021-03-08,3,-1.1,90.2,1.0,270.0,13.0
2021-03-08,6,-2.4,93.5,0.0,0.0,13.0
2021-03-08,9,-0.1,92.3,2.0,90.0,9.0
2021-03-08,12,4.7,80.9,1.0,90.0,14.0
2021-03-08,15,9.3,63.3,2.0,270.0,16.0
2021-03-08,18,8.0,69.2,2.0,230.0,16.0
2021-03-08,21,2.5,80.6,3.0,230.0,16.0
2021-03-09,0,1.1,83.4,2.0,270.0,16.0
2021-03-09,3,0.1,84.5,1.0,320.0,16.0
2021-03-09,6,-0.5,83.2,2.0,70.0,16.0
2021-03-09,9,0.3,89.6,2.0,90.0,9.0
2021-03-09,12,6.6,75.0,1.0,90.0,11.0
2021-03-09,15,10.0,71.5,3.0,270.0,13.0
2021-03-09,18,8.0,70.7,2.0,270.0,11.0
2021-03-09,21,4.9,84.4,3.0,270.0,11.0
2021-03-10,0,3.5,89.3,1.0,270.0,11.0
2021-03-10,3,2.1,91.7,1.0,50.0,9.0
2021-03-10,6,0.7,93.7,1.0,50.0,6.0
2021-03-10,9,-0.4,95.7,3.0,90.0,0.0
2021-03-10,12,6.5,81.7,2.0,50.0,7.0
2021-03-10,15,13.7,58.8,2.0,230.0,9.0
2021-03-10,18,8.7,76.5,3.0,320.0,9.0
2021-03-10,21,5.5,83.9,2.0,320.0,6.0
2021-03-11,0,5.1,90.0,1.0,50.0,7.0
2021-03-11,3,3.2,84.8,1.0,50.0,8.0
2021-03-11,6,2.9,83.6,1.0,90.0,8.0
2021-03-11,9,3.5,91.8,1.0,50.0,5.0
2021-03-11,12,9.4,77.1,1.0,50.0,8.0
2021-03-11,15,12.3,65.8,1.0,270.0,8.0
2021-03-11,18,12.3,58.1,1.0,270.0,8.0
2021-03-11,21,5.6,88.8,2.0,230.0,4.5
2021-03-12,0,5.0,90.6,2.0,230.0,4.5
2021-03-12,3,3.7,89.3,1.0,270.0,3.5
2021-03-12,6,4.1,92.5,3.0,230.0,3.5
2021-03-12,9,4.6,91.9,1.0,270.0,3.5
2021-03-12,12,7.5,91.5,2.0,230.0,6.0
2021-03-12,15,11.0,80.6,3.0,230.0,8.0
2021-03-12,18,9.4,83.8,2.0,250.0,8.0
2021-03-12,21,6.5,90.8,2.0,50.0,9.0
2021-03-13,0,6.3,81.7,2.0,50.0,9.0
2021-03-13,3,5.8,81.6,2.0,50.0,9.0
2021-03-13,6,5.8,81.6,2.0,90.0,9.0
2021-03-13,9,6.2,81.1,3.0,90.0,5.0
2021-03-13,12,10.2,74.1,1.0,50.0,6.0
2021-03-13,15,9.0,79.2,7.0,270.0,6.0
2021-03-13,18,8.6,83.1,1.0,270.0,5.0
2021-03-13,21,6.2,90.7,3.0,270.0,5.0
2021-03-14,0,4.7,91.3,2.0,270.0,4.0
2021-03-14,3,2.6,92.4,1.0,270.0,0.0
2021-03-14,6,2.5,94.4,1.0,230.0,0.0
2021-03-14,9,2.6,95.1,1.0,180.0,0.0
2021-03-14,12,8.2,88.4,1.0,90.0,6.0
2021-03-14,15,12.8,69.7,1.0,270.0,9.0
2021-03-14,18,10.0,81.6,1.0,320.0,8.0
2021-03-14,21,8.2,88.4,1.0,270.0,9.0
2021-03-15,0,5.7,90.7,1.0,90.0,9.0
2021-03-15,3,5.8,85.7,2.0,90.0,9.0
